Consequent,Antecedent,Supp,Conf,Lift
N_P,"('7_D',)",0.05,0.982,1.003
N_P,"('6_D',)",0.051,0.966,0.987
N_P,"('4_D', 'N_WA')",0.051,1.0,1.022
N_P,"('4_D',)",0.06,1.0,1.022
N_P,"('6_NP', 'low_SL', 'insufficient_LE', 'N_WA')",0.051,0.99,1.011
insufficient_LE,"('6_NP', 'low_SL', 'N_WA', 'N_P')",0.051,1.0,3.861
insufficient_LE,"('6_NP', 'low_SL', 'N_WA')",0.051,1.0,3.861
N_P,"('6_NP', 'low_SL', 'insufficient_LE')",0.056,0.987,1.009
insufficient_LE,"('6_NP', 'low_SL', 'N_P')",0.056,1.0,3.861
insufficient_LE,"('6_NP', 'low_SL')",0.057,1.0,3.861
N_P,"('6_NP', 'low_SL', 'N_WA')",0.051,0.99,1.011
N_P,"('6_NP', 'low_SL')",0.056,0.987,1.009
N_P,"('6_NP', 'insufficient_LE', 'intensive_H')",0.051,0.988,1.01
N_P,"('6_NP', 'insufficient_LE', 'N_WA')",0.054,0.988,1.009
N_P,"('6_NP', 'insufficient_LE')",0.06,0.986,1.007
N_P,"('6_NP', 'intensive_H', 'N_WA')",0.054,0.992,1.013
N_P,"('6_NP', 'intensive_H')",0.059,0.985,1.006
N_P,"('6_NP', 'N_WA')",0.068,0.988,1.009
N_P,"('6_NP',)",0.077,0.983,1.004
N_P,"('3_D', 'N_L', 'N_WA')",0.053,1.0,1.022
N_P,"('3_D', 'N_L')",0.064,1.0,1.022
N_P,"('3_D', 'N_WA')",0.071,0.997,1.019
N_P,"('3_D',)",0.082,0.998,1.019
N_P,"('5_T', 'Y_L', 'intensive_H', 'N_WA')",0.05,1.0,1.022
N_WA,"('5_T', 'Y_L', 'intensive_H', 'N_P')",0.05,0.954,1.116
intensive_H,"('5_T', 'Y_L', 'N_WA', 'N_P')",0.05,0.951,1.893
N_WA,"('5_T', 'Y_L', 'intensive_H')",0.05,0.953,1.114
intensive_H,"('5_T', 'Y_L', 'N_WA')",0.05,0.951,1.893
N_P,"('5_T', 'Y_L', 'intensive_H')",0.053,0.999,1.02
intensive_H,"('5_T', 'Y_L', 'N_P')",0.053,0.951,1.893
intensive_H,"('5_T', 'Y_L')",0.053,0.951,1.893
N_P,"('5_T', 'Y_L', 'N_WA')",0.053,1.0,1.022
N_WA,"('5_T', 'Y_L', 'N_P')",0.053,0.954,1.116
N_WA,"('5_T', 'Y_L')",0.053,0.953,1.114
N_P,"('5_T', 'Y_L')",0.055,0.999,1.021
N_P,"('5_T', 'high_SL', 'intensive_H')",0.051,0.993,1.015
N_P,"('5_T', 'high_SL', 'N_WA')",0.054,0.99,1.012
N_P,"('5_T', 'high_SL')",0.059,0.985,1.007
N_P,"('5_T', 'low_S')",0.053,0.991,1.013
N_P,"('5_T', 'intensive_H', 'N_WA')",0.065,0.997,1.019
N_P,"('5_T', 'intensive_H')",0.071,0.993,1.015
N_P,"('5_T', 'N_WA')",0.086,0.992,1.013
N_P,"('5_T',)",0.097,0.988,1.01
N_P,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'intensive_H', 'N_WA')",0.051,0.996,1.018
N_WA,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'intensive_H', 'N_P')",0.051,0.954,1.115
intensive_H,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'N_WA', 'N_P')",0.051,0.992,1.976
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'intensive_H', 'N_WA', 'N_P')",0.051,1.0,3.861
low_SL,"('4_T', 'Y_L', 'insufficient_LE', 'intensive_H', 'N_WA', 'N_P')",0.051,0.99,7.241
N_WA,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'intensive_H')",0.051,0.954,1.115
intensive_H,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'N_WA')",0.051,0.992,1.976
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'intensive_H', 'N_WA')",0.051,1.0,3.861
low_SL,"('4_T', 'Y_L', 'insufficient_LE', 'intensive_H', 'N_WA')",0.051,0.99,7.241
N_P,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'intensive_H')",0.054,0.996,1.018
intensive_H,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'N_P')",0.054,0.989,1.969
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'intensive_H', 'N_P')",0.054,1.0,3.861
low_SL,"('4_T', 'Y_L', 'insufficient_LE', 'intensive_H', 'N_P')",0.054,0.99,7.244
intensive_H,"('low_SL', '4_T', 'Y_L', 'insufficient_LE')",0.054,0.989,1.969
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'intensive_H')",0.054,1.0,3.861
low_SL,"('4_T', 'Y_L', 'insufficient_LE', 'intensive_H')",0.054,0.99,7.245
N_P,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'N_WA')",0.051,0.996,1.018
N_WA,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'N_P')",0.051,0.951,1.111
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'N_WA', 'N_P')",0.051,1.0,3.861
low_SL,"('4_T', 'Y_L', 'insufficient_LE', 'N_WA', 'N_P')",0.051,0.978,7.159
N_WA,"('low_SL', '4_T', 'Y_L', 'insufficient_LE')",0.052,0.951,1.112
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'N_WA')",0.052,1.0,3.861
low_SL,"('4_T', 'Y_L', 'insufficient_LE', 'N_WA')",0.052,0.979,7.16
N_P,"('low_SL', '4_T', 'Y_L', 'insufficient_LE')",0.054,0.996,1.018
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'N_P')",0.054,1.0,3.861
low_SL,"('4_T', 'Y_L', 'insufficient_LE', 'N_P')",0.054,0.979,7.167
insufficient_LE,"('low_SL', '4_T', 'Y_L')",0.054,1.0,3.861
low_SL,"('4_T', 'Y_L', 'insufficient_LE')",0.054,0.98,7.167
N_P,"('low_SL', '4_T', 'Y_L', 'intensive_H', 'N_WA')",0.051,0.996,1.018
N_WA,"('low_SL', '4_T', 'Y_L', 'intensive_H', 'N_P')",0.051,0.954,1.115
intensive_H,"('low_SL', '4_T', 'Y_L', 'N_WA', 'N_P')",0.051,0.992,1.976
low_SL,"('4_T', 'Y_L', 'intensive_H', 'N_WA', 'N_P')",0.051,0.954,6.979
N_WA,"('low_SL', '4_T', 'Y_L', 'intensive_H')",0.051,0.954,1.115
