Consequent,Antecedent,Supp,Conf,Lift
N_P,"('7_D',)",0.05,0.982,1.003
N_P,"('6_D',)",0.051,0.966,0.987
N_P,"('5_D',)",0.054,0.95,0.971
N_P,"('4_D', 'N_WA')",0.051,1.0,1.022
N_WA,"('4_D', 'N_P')",0.051,0.854,0.998
N_WA,"('4_D',)",0.051,0.854,0.998
N_P,"('4_D',)",0.06,1.0,1.022
N_P,"('6_NP', 'low_SL', 'insufficient_LE', 'N_WA')",0.051,0.99,1.011
N_WA,"('6_NP', 'low_SL', 'insufficient_LE', 'N_P')",0.051,0.906,1.059
insufficient_LE,"('6_NP', 'low_SL', 'N_WA', 'N_P')",0.051,1.0,3.861
low_SL,"('6_NP', 'insufficient_LE', 'N_WA', 'N_P')",0.051,0.933,6.823
N_WA,"('6_NP', 'low_SL', 'insufficient_LE')",0.051,0.904,1.056
insufficient_LE,"('6_NP', 'low_SL', 'N_WA')",0.051,1.0,3.861
low_SL,"('6_NP', 'insufficient_LE', 'N_WA')",0.051,0.931,6.812
N_P,"('6_NP', 'low_SL', 'insufficient_LE')",0.056,0.987,1.009
insufficient_LE,"('6_NP', 'low_SL', 'N_P')",0.056,1.0,3.861
low_SL,"('6_NP', 'insufficient_LE', 'N_P')",0.056,0.927,6.784
insufficient_LE,"('6_NP', 'low_SL')",0.057,1.0,3.861
low_SL,"('6_NP', 'insufficient_LE')",0.057,0.926,6.775
N_P,"('6_NP', 'low_SL', 'N_WA')",0.051,0.99,1.011
N_WA,"('6_NP', 'low_SL', 'N_P')",0.051,0.906,1.059
N_WA,"('6_NP', 'low_SL')",0.051,0.904,1.056
N_P,"('6_NP', 'low_SL')",0.056,0.987,1.009
N_P,"('6_NP', 'insufficient_LE', 'intensive_H')",0.051,0.988,1.01
intensive_H,"('6_NP', 'insufficient_LE', 'N_P')",0.051,0.851,1.694
insufficient_LE,"('6_NP', 'intensive_H', 'N_P')",0.051,0.866,3.345
intensive_H,"('6_NP', 'insufficient_LE')",0.052,0.849,1.69
insufficient_LE,"('6_NP', 'intensive_H')",0.052,0.863,3.331
N_P,"('6_NP', 'insufficient_LE', 'N_WA')",0.054,0.988,1.009
N_WA,"('6_NP', 'insufficient_LE', 'N_P')",0.054,0.901,1.053
N_WA,"('6_NP', 'insufficient_LE')",0.055,0.899,1.051
N_P,"('6_NP', 'insufficient_LE')",0.06,0.986,1.007
N_P,"('6_NP', 'intensive_H', 'N_WA')",0.054,0.992,1.013
N_WA,"('6_NP', 'intensive_H', 'N_P')",0.054,0.918,1.073
N_WA,"('6_NP', 'intensive_H')",0.055,0.912,1.066
N_P,"('6_NP', 'intensive_H')",0.059,0.985,1.006
N_P,"('6_NP', 'N_WA')",0.068,0.988,1.009
N_WA,"('6_NP', 'N_P')",0.068,0.89,1.04
N_WA,"('6_NP',)",0.069,0.886,1.036
N_P,"('6_NP',)",0.077,0.983,1.004
N_P,"('3_D', 'N_L', 'N_WA')",0.053,1.0,1.022
N_WA,"('3_D', 'N_L', 'N_P')",0.053,0.838,0.979
N_WA,"('3_D', 'N_L')",0.053,0.838,0.979
N_P,"('3_D', 'N_L')",0.064,1.0,1.022
N_P,"('3_D', 'N_WA')",0.071,0.997,1.019
N_WA,"('3_D', 'N_P')",0.071,0.866,1.012
N_WA,"('3_D',)",0.071,0.866,1.013
N_P,"('3_D',)",0.082,0.998,1.019
N_P,"('high_S', 'N_L', 'N_WA')",0.06,0.941,0.961
N_WA,"('high_S', 'N_L', 'N_P')",0.06,0.837,0.978
N_L,"('high_S', 'N_WA', 'N_P')",0.06,0.917,1.204
N_WA,"('high_S', 'N_L')",0.064,0.834,0.975
N_L,"('high_S', 'N_WA')",0.064,0.922,1.209
N_P,"('high_S', 'N_L')",0.072,0.938,0.958
N_L,"('high_S', 'N_P')",0.072,0.93,1.22
N_L,"('high_S',)",0.077,0.934,1.225
N_P,"('high_S', 'N_WA')",0.066,0.945,0.966
N_WA,"('high_S', 'N_P')",0.066,0.848,0.991
N_WA,"('high_S',)",0.07,0.845,0.988
N_P,"('high_S',)",0.078,0.942,0.962
N_P,"('5_T', 'Y_L', 'intensive_H', 'N_WA')",0.05,1.0,1.022
N_WA,"('5_T', 'Y_L', 'intensive_H', 'N_P')",0.05,0.954,1.116
intensive_H,"('5_T', 'Y_L', 'N_WA', 'N_P')",0.05,0.951,1.893
N_WA,"('5_T', 'Y_L', 'intensive_H')",0.05,0.953,1.114
intensive_H,"('5_T', 'Y_L', 'N_WA')",0.05,0.951,1.893
N_P,"('5_T', 'Y_L', 'intensive_H')",0.053,0.999,1.02
intensive_H,"('5_T', 'Y_L', 'N_P')",0.053,0.951,1.893
intensive_H,"('5_T', 'Y_L')",0.053,0.951,1.893
N_P,"('5_T', 'Y_L', 'N_WA')",0.053,1.0,1.022
N_WA,"('5_T', 'Y_L', 'N_P')",0.053,0.954,1.116
N_WA,"('5_T', 'Y_L')",0.053,0.953,1.114
N_P,"('5_T', 'Y_L')",0.055,0.999,1.021
N_P,"('5_T', 'high_SL', 'intensive_H')",0.051,0.993,1.015
intensive_H,"('5_T', 'high_SL', 'N_P')",0.051,0.864,1.721
intensive_H,"('5_T', 'high_SL')",0.051,0.857,1.707
N_P,"('5_T', 'high_SL', 'N_WA')",0.054,0.99,1.012
N_WA,"('5_T', 'high_SL', 'N_P')",0.054,0.917,1.072
N_WA,"('5_T', 'high_SL')",0.054,0.912,1.067
N_P,"('5_T', 'high_SL')",0.059,0.985,1.007
N_P,"('5_T', 'low_S')",0.053,0.991,1.013
N_P,"('5_T', 'intensive_H', 'N_WA')",0.065,0.997,1.019
N_WA,"('5_T', 'intensive_H', 'N_P')",0.065,0.913,1.067
N_WA,"('5_T', 'intensive_H')",0.065,0.91,1.064
N_P,"('5_T', 'intensive_H')",0.071,0.993,1.015
N_P,"('5_T', 'N_WA')",0.086,0.992,1.013
N_WA,"('5_T', 'N_P')",0.086,0.887,1.037
N_WA,"('5_T',)",0.087,0.884,1.033
N_P,"('5_T',)",0.097,0.988,1.01
N_P,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'intensive_H', 'N_WA')",0.051,0.996,1.018
N_WA,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'intensive_H', 'N_P')",0.051,0.954,1.115
intensive_H,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'N_WA', 'N_P')",0.051,0.992,1.976
