Consequent,Antecedent,Supp,Conf,Lift
N_P,"('2_T', 'N_L')",0.209,0.983,1.004
N_L,"('2_T', 'N_P')",0.209,0.983,1.291
N_L,"('2_T',)",0.213,0.984,1.291
N_P,"('2_T',)",0.213,0.983,1.005
N_P,"('Y_L', 'N_WA')",0.226,0.996,1.017
N_WA,"('Y_L', 'N_P')",0.226,0.954,1.115
N_WA,"('Y_L',)",0.227,0.953,1.114
N_P,"('Y_L',)",0.237,0.995,1.016
N_P,"('insufficient_LE', 'N_WA')",0.23,0.989,1.01
N_WA,"('insufficient_LE', 'N_P')",0.23,0.9,1.052
N_WA,"('insufficient_LE',)",0.233,0.9,1.052
N_P,"('insufficient_LE',)",0.256,0.988,1.01
N_WA,"('good_LE', 'N_L')",0.201,0.82,0.959
N_L,"('good_LE', 'N_WA')",0.201,0.923,1.212
N_P,"('good_LE', 'N_L')",0.239,0.977,0.999
N_L,"('good_LE', 'N_P')",0.239,0.932,1.223
N_L,"('good_LE',)",0.245,0.933,1.225
N_P,"('good_LE', 'N_WA')",0.213,0.983,1.004
N_WA,"('good_LE', 'N_P')",0.213,0.832,0.973
N_WA,"('good_LE',)",0.217,0.829,0.969
N_P,"('good_LE',)",0.256,0.979,1.0
N_P,"('3_NP', 'N_L', 'N_WA')",0.213,0.977,0.999
N_WA,"('3_NP', 'N_L', 'N_P')",0.213,0.823,0.962
N_L,"('3_NP', 'N_WA', 'N_P')",0.213,0.978,1.284
N_WA,"('3_NP', 'N_L')",0.218,0.822,0.961
N_L,"('3_NP', 'N_WA')",0.218,0.979,1.285
N_P,"('3_NP', 'N_L')",0.259,0.976,0.997
N_L,"('3_NP', 'N_P')",0.259,0.982,1.289
N_L,"('3_NP',)",0.266,0.982,1.289
N_P,"('3_NP', 'N_WA')",0.218,0.978,0.999
N_WA,"('3_NP', 'N_P')",0.218,0.826,0.966
N_WA,"('3_NP',)",0.223,0.825,0.964
N_P,"('3_NP',)",0.264,0.977,0.998
N_P,"('0_D', 'N_L')",0.202,0.97,0.991
N_L,"('0_D', 'N_P')",0.202,0.751,0.985
N_L,"('0_D',)",0.208,0.755,0.991
N_P,"('0_D', 'N_WA')",0.232,0.98,1.001
N_WA,"('0_D', 'N_P')",0.232,0.862,1.008
N_WA,"('0_D',)",0.237,0.858,1.003
N_P,"('0_D',)",0.269,0.976,0.997
N_P,"('4_NP', 'N_L', 'N_WA')",0.214,0.973,0.994
N_WA,"('4_NP', 'N_L', 'N_P')",0.214,0.836,0.977
N_L,"('4_NP', 'N_WA', 'N_P')",0.214,0.894,1.174
N_WA,"('4_NP', 'N_L')",0.22,0.834,0.975
N_L,"('4_NP', 'N_WA')",0.22,0.896,1.176
N_P,"('4_NP', 'N_L')",0.256,0.971,0.993
N_L,"('4_NP', 'N_P')",0.256,0.905,1.187
N_L,"('4_NP',)",0.264,0.906,1.189
N_P,"('4_NP', 'N_WA')",0.239,0.975,0.996
N_WA,"('4_NP', 'N_P')",0.239,0.845,0.988
N_WA,"('4_NP',)",0.245,0.844,0.986
N_P,"('4_NP',)",0.283,0.973,0.994
N_P,"('very good_LE', 'high_SL', 'N_L', 'N_WA')",0.226,0.972,0.994
N_WA,"('very good_LE', 'high_SL', 'N_L', 'N_P')",0.226,0.828,0.968
N_L,"('very good_LE', 'high_SL', 'N_WA', 'N_P')",0.226,0.832,1.092
high_SL,"('very good_LE', 'N_L', 'N_WA', 'N_P')",0.226,1.0,2.061
very good_LE,"('high_SL', 'N_L', 'N_WA', 'N_P')",0.226,0.667,2.026
N_WA,"('very good_LE', 'high_SL', 'N_L')",0.232,0.828,0.968
N_L,"('very good_LE', 'high_SL', 'N_WA')",0.232,0.835,1.096
high_SL,"('very good_LE', 'N_L', 'N_WA')",0.232,1.0,2.061
very good_LE,"('high_SL', 'N_L', 'N_WA')",0.232,0.668,2.03
N_P,"('very good_LE', 'high_SL', 'N_L')",0.273,0.972,0.993
N_L,"('very good_LE', 'high_SL', 'N_P')",0.273,0.851,1.116
high_SL,"('very good_LE', 'N_L', 'N_P')",0.273,1.0,2.061
very good_LE,"('high_SL', 'N_L', 'N_P')",0.273,0.665,2.023
N_L,"('very good_LE', 'high_SL')",0.281,0.853,1.12
high_SL,"('very good_LE', 'N_L')",0.281,1.0,2.061
very good_LE,"('high_SL', 'N_L')",0.281,0.666,2.025
N_P,"('very good_LE', 'high_SL', 'N_WA')",0.272,0.976,0.998
N_WA,"('very good_LE', 'high_SL', 'N_P')",0.272,0.847,0.99
high_SL,"('very good_LE', 'N_WA', 'N_P')",0.272,1.0,2.061
very good_LE,"('high_SL', 'N_WA', 'N_P')",0.272,0.68,2.068
N_WA,"('very good_LE', 'high_SL')",0.278,0.846,0.989
high_SL,"('very good_LE', 'N_WA')",0.278,1.0,2.061
very good_LE,"('high_SL', 'N_WA')",0.278,0.681,2.07
N_P,"('very good_LE', 'high_SL')",0.321,0.975,0.997
high_SL,"('very good_LE', 'N_P')",0.321,1.0,2.061
very good_LE,"('high_SL', 'N_P')",0.321,0.677,2.059
high_SL,"('very good_LE',)",0.329,1.0,2.061
very good_LE,"('high_SL',)",0.329,0.678,2.061
N_P,"('very good_LE', 'N_L', 'N_WA')",0.226,0.972,0.994
N_WA,"('very good_LE', 'N_L', 'N_P')",0.226,0.828,0.968
N_L,"('very good_LE', 'N_WA', 'N_P')",0.226,0.832,1.092
N_WA,"('very good_LE', 'N_L')",0.232,0.828,0.968
N_L,"('very good_LE', 'N_WA')",0.232,0.835,1.096
N_P,"('very good_LE', 'N_L')",0.273,0.972,0.993
N_L,"('very good_LE', 'N_P')",0.273,0.851,1.116
N_L,"('very good_LE',)",0.281,0.853,1.12
N_P,"('very good_LE', 'N_WA')",0.272,0.976,0.998
N_WA,"('very good_LE', 'N_P')",0.272,0.847,0.99
