Consequent,Antecedent,Supp,Conf,Lift
N_P,"('low_SL', 'insufficient_LE', 'N_WA')",0.119,0.988,1.01
insufficient_LE,"('low_SL', 'N_WA', 'N_P')",0.119,1.0,3.861
insufficient_LE,"('low_SL', 'N_WA')",0.12,1.0,3.861
N_P,"('low_SL', 'insufficient_LE')",0.135,0.988,1.009
insufficient_LE,"('low_SL', 'N_P')",0.135,1.0,3.861
insufficient_LE,"('low_SL',)",0.137,1.0,3.861
N_P,"('low_SL', 'N_WA')",0.119,0.988,1.01
N_P,"('low_SL',)",0.135,0.988,1.009
N_P,"('Y_WA', 'N_L')",0.129,0.964,0.985
N_P,"('Y_WA',)",0.14,0.965,0.986
N_P,"('2_D', 'N_L')",0.11,0.99,1.011
N_P,"('2_D', 'N_WA')",0.125,0.992,1.013
N_P,"('2_D',)",0.147,0.991,1.013
N_P,"('sufficient_LE', 'medium_SL', 'N_L', 'N_WA')",0.106,0.972,0.993
medium_SL,"('sufficient_LE', 'N_L', 'N_WA', 'N_P')",0.106,1.0,2.645
medium_SL,"('sufficient_LE', 'N_L', 'N_WA')",0.109,1.0,2.645
N_P,"('sufficient_LE', 'medium_SL', 'N_L')",0.127,0.968,0.989
medium_SL,"('sufficient_LE', 'N_L', 'N_P')",0.127,1.0,2.645
medium_SL,"('sufficient_LE', 'N_L')",0.131,1.0,2.645
N_P,"('sufficient_LE', 'medium_SL', 'N_WA')",0.124,0.975,0.996
medium_SL,"('sufficient_LE', 'N_WA', 'N_P')",0.124,1.0,2.645
medium_SL,"('sufficient_LE', 'N_WA')",0.127,1.0,2.645
N_P,"('sufficient_LE', 'medium_SL')",0.145,0.969,0.99
medium_SL,"('sufficient_LE', 'N_P')",0.145,1.0,2.645
medium_SL,"('sufficient_LE',)",0.15,1.0,2.645
N_P,"('sufficient_LE', 'N_L', 'N_WA')",0.106,0.972,0.993
N_P,"('sufficient_LE', 'N_L')",0.127,0.968,0.989
N_P,"('sufficient_LE', 'N_WA')",0.124,0.975,0.996
N_P,"('sufficient_LE',)",0.145,0.969,0.99
N_P,"('2_NP', 'Y_L', 'medium_SL', '3_T', 'standard_H')",0.1,0.992,1.014
standard_H,"('2_NP', 'Y_L', 'medium_SL', '3_T', 'N_P')",0.1,0.998,2.005
3_T,"('2_NP', 'Y_L', 'medium_SL', 'standard_H', 'N_P')",0.1,0.991,2.306
medium_SL,"('2_NP', 'Y_L', '3_T', 'standard_H', 'N_P')",0.1,0.999,2.644
2_NP,"('Y_L', 'medium_SL', '3_T', 'standard_H', 'N_P')",0.1,0.996,6.256
standard_H,"('2_NP', 'Y_L', 'medium_SL', '3_T')",0.101,0.998,2.005
3_T,"('2_NP', 'Y_L', 'medium_SL', 'standard_H')",0.101,0.991,2.307
medium_SL,"('2_NP', 'Y_L', '3_T', 'standard_H')",0.101,0.999,2.644
2_NP,"('Y_L', 'medium_SL', '3_T', 'standard_H')",0.101,0.996,6.256
N_P,"('2_NP', 'Y_L', 'medium_SL', '3_T')",0.1,0.992,1.014
3_T,"('2_NP', 'Y_L', 'medium_SL', 'N_P')",0.1,0.985,2.293
medium_SL,"('2_NP', 'Y_L', '3_T', 'N_P')",0.1,0.992,2.624
2_NP,"('Y_L', 'medium_SL', '3_T', 'N_P')",0.1,0.986,6.19
3_T,"('2_NP', 'Y_L', 'medium_SL')",0.101,0.985,2.293
medium_SL,"('2_NP', 'Y_L', '3_T')",0.101,0.992,2.625
2_NP,"('Y_L', 'medium_SL', '3_T')",0.101,0.986,6.191
N_P,"('2_NP', 'Y_L', 'medium_SL', 'standard_H')",0.101,0.992,1.014
standard_H,"('2_NP', 'Y_L', 'medium_SL', 'N_P')",0.101,0.992,1.993
medium_SL,"('2_NP', 'Y_L', 'standard_H', 'N_P')",0.101,0.995,2.631
2_NP,"('Y_L', 'medium_SL', 'standard_H', 'N_P')",0.101,0.978,6.143
standard_H,"('2_NP', 'Y_L', 'medium_SL')",0.102,0.992,1.993
medium_SL,"('2_NP', 'Y_L', 'standard_H')",0.102,0.995,2.632
2_NP,"('Y_L', 'medium_SL', 'standard_H')",0.102,0.978,6.144
N_P,"('2_NP', 'Y_L', 'medium_SL')",0.102,0.992,1.014
medium_SL,"('2_NP', 'Y_L', 'N_P')",0.102,0.982,2.598
medium_SL,"('2_NP', 'Y_L')",0.103,0.982,2.598
N_P,"('2_NP', 'Y_L', '3_T', 'standard_H')",0.1,0.992,1.014
standard_H,"('2_NP', 'Y_L', '3_T', 'N_P')",0.1,0.991,1.99
3_T,"('2_NP', 'Y_L', 'standard_H', 'N_P')",0.1,0.986,2.296
2_NP,"('Y_L', '3_T', 'standard_H', 'N_P')",0.1,0.987,6.198
standard_H,"('2_NP', 'Y_L', '3_T')",0.101,0.991,1.991
3_T,"('2_NP', 'Y_L', 'standard_H')",0.101,0.986,2.296
2_NP,"('Y_L', '3_T', 'standard_H')",0.101,0.985,6.187
N_P,"('2_NP', 'Y_L', '3_T')",0.101,0.992,1.014
3_T,"('2_NP', 'Y_L', 'N_P')",0.101,0.975,2.27
2_NP,"('Y_L', '3_T', 'N_P')",0.101,0.965,6.061
3_T,"('2_NP', 'Y_L')",0.102,0.975,2.27
2_NP,"('Y_L', '3_T')",0.102,0.963,6.051
N_P,"('2_NP', 'Y_L', 'standard_H')",0.102,0.992,1.014
standard_H,"('2_NP', 'Y_L', 'N_P')",0.102,0.979,1.968
standard_H,"('2_NP', 'Y_L')",0.102,0.98,1.968
N_P,"('2_NP', 'Y_L')",0.104,0.992,1.014
N_P,"('2_NP', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.103,0.993,1.014
standard_H,"('2_NP', 'medium_SL', '3_T', 'N_WA', 'N_P')",0.103,0.977,1.963
medium_SL,"('2_NP', '3_T', 'standard_H', 'N_WA', 'N_P')",0.103,0.959,2.538
standard_H,"('2_NP', 'medium_SL', '3_T', 'N_WA')",0.103,0.977,1.963
medium_SL,"('2_NP', '3_T', 'standard_H', 'N_WA')",0.103,0.96,2.539
N_P,"('2_NP', 'medium_SL', '3_T', 'standard_H')",0.108,0.991,1.013
standard_H,"('2_NP', 'medium_SL', '3_T', 'N_P')",0.108,0.971,1.95
medium_SL,"('2_NP', '3_T', 'standard_H', 'N_P')",0.108,0.952,2.52
standard_H,"('2_NP', 'medium_SL', '3_T')",0.109,0.971,1.951
medium_SL,"('2_NP', '3_T', 'standard_H')",0.109,0.953,2.521
