Consequent,Antecedent,Supp,Conf,Lift
N_P,"('4_D', 'N_WA')",0.051,1.0,1.022
N_P,"('4_D',)",0.06,1.0,1.022
insufficient_LE,"('6_NP', 'low_SL', 'N_WA', 'N_P')",0.051,1.0,3.861
insufficient_LE,"('6_NP', 'low_SL', 'N_WA')",0.051,1.0,3.861
insufficient_LE,"('6_NP', 'low_SL', 'N_P')",0.056,1.0,3.861
insufficient_LE,"('6_NP', 'low_SL')",0.057,1.0,3.861
N_P,"('3_D', 'N_L', 'N_WA')",0.053,1.0,1.022
N_P,"('3_D', 'N_L')",0.064,1.0,1.022
N_P,"('5_T', 'Y_L', 'intensive_H', 'N_WA')",0.05,1.0,1.022
N_P,"('5_T', 'Y_L', 'N_WA')",0.053,1.0,1.022
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'intensive_H', 'N_WA', 'N_P')",0.051,1.0,3.861
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'intensive_H', 'N_WA')",0.051,1.0,3.861
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'intensive_H', 'N_P')",0.054,1.0,3.861
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'intensive_H')",0.054,1.0,3.861
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'N_WA', 'N_P')",0.051,1.0,3.861
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'N_WA')",0.052,1.0,3.861
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'N_P')",0.054,1.0,3.861
insufficient_LE,"('low_SL', '4_T', 'Y_L')",0.054,1.0,3.861
insufficient_LE,"('low_SL', '4_T', 'intensive_H', 'N_WA', 'N_P')",0.058,1.0,3.861
insufficient_LE,"('low_SL', '4_T', 'intensive_H', 'N_WA')",0.058,1.0,3.861
insufficient_LE,"('low_SL', '4_T', 'intensive_H', 'N_P')",0.062,1.0,3.861
insufficient_LE,"('low_SL', '4_T', 'intensive_H')",0.063,1.0,3.861
insufficient_LE,"('low_SL', '4_T', 'N_WA', 'N_P')",0.065,1.0,3.861
insufficient_LE,"('low_SL', '4_T', 'N_WA')",0.066,1.0,3.861
insufficient_LE,"('low_SL', '4_T', 'N_P')",0.072,1.0,3.861
insufficient_LE,"('low_SL', '4_T')",0.072,1.0,3.861
insufficient_LE,"('low_SL', 'Y_L', 'intensive_H', 'N_WA', 'N_P')",0.059,1.0,3.861
insufficient_LE,"('low_SL', 'Y_L', 'intensive_H', 'N_WA')",0.059,1.0,3.861
insufficient_LE,"('low_SL', 'Y_L', 'intensive_H', 'N_P')",0.062,1.0,3.861
insufficient_LE,"('low_SL', 'Y_L', 'intensive_H')",0.062,1.0,3.861
insufficient_LE,"('low_SL', 'Y_L', 'N_WA', 'N_P')",0.061,1.0,3.861
insufficient_LE,"('low_SL', 'Y_L', 'N_WA')",0.062,1.0,3.861
insufficient_LE,"('low_SL', 'Y_L', 'N_P')",0.065,1.0,3.861
insufficient_LE,"('low_SL', 'Y_L')",0.065,1.0,3.861
