Consequent,Antecedent,Supp,Conf,Lift
N_P,"('2_T', 'N_L')",0.21,0.98,1.0
N_L,"('2_T', 'N_P')",0.21,0.98,1.29
N_L,"('2_T',)",0.21,0.98,1.29
N_P,"('2_T',)",0.21,0.98,1.0
N_P,"('Y_L', 'N_WA')",0.23,1.0,1.02
N_WA,"('Y_L', 'N_P')",0.23,0.95,1.11
N_WA,"('Y_L',)",0.23,0.95,1.11
N_P,"('Y_L',)",0.24,0.99,1.02
N_P,"('insufficient_LE', 'N_WA')",0.23,0.99,1.01
N_WA,"('insufficient_LE', 'N_P')",0.23,0.9,1.05
N_WA,"('insufficient_LE',)",0.23,0.9,1.05
N_P,"('insufficient_LE',)",0.26,0.99,1.01
N_L,"('good_LE', 'N_WA')",0.2,0.92,1.21
N_P,"('good_LE', 'N_L')",0.24,0.98,1.0
N_L,"('good_LE', 'N_P')",0.24,0.93,1.22
N_L,"('good_LE',)",0.24,0.93,1.22
N_P,"('good_LE', 'N_WA')",0.21,0.98,1.0
N_P,"('good_LE',)",0.26,0.98,1.0
N_P,"('3_NP', 'N_L', 'N_WA')",0.21,0.98,1.0
N_L,"('3_NP', 'N_WA', 'N_P')",0.21,0.98,1.28
N_L,"('3_NP', 'N_WA')",0.22,0.98,1.28
N_P,"('3_NP', 'N_L')",0.26,0.98,1.0
N_L,"('3_NP', 'N_P')",0.26,0.98,1.29
N_L,"('3_NP',)",0.27,0.98,1.29
N_P,"('3_NP', 'N_WA')",0.22,0.98,1.0
N_P,"('3_NP',)",0.26,0.98,1.0
N_P,"('0_D', 'N_L')",0.2,0.97,0.99
N_P,"('0_D', 'N_WA')",0.23,0.98,1.0
N_WA,"('0_D', 'N_P')",0.23,0.86,1.01
N_WA,"('0_D',)",0.24,0.86,1.0
N_P,"('0_D',)",0.27,0.98,1.0
N_P,"('4_NP', 'N_L', 'N_WA')",0.21,0.97,0.99
N_L,"('4_NP', 'N_WA', 'N_P')",0.21,0.89,1.17
N_L,"('4_NP', 'N_WA')",0.22,0.9,1.18
N_P,"('4_NP', 'N_L')",0.26,0.97,0.99
N_L,"('4_NP', 'N_P')",0.26,0.9,1.19
N_L,"('4_NP',)",0.26,0.91,1.19
N_P,"('4_NP', 'N_WA')",0.24,0.98,1.0
N_P,"('4_NP',)",0.28,0.97,0.99
N_P,"('very good_LE', 'high_SL', 'N_L', 'N_WA')",0.23,0.97,0.99
high_SL,"('very good_LE', 'N_L', 'N_WA', 'N_P')",0.23,1.0,2.06
high_SL,"('very good_LE', 'N_L', 'N_WA')",0.23,1.0,2.06
N_P,"('very good_LE', 'high_SL', 'N_L')",0.27,0.97,0.99
N_L,"('very good_LE', 'high_SL', 'N_P')",0.27,0.85,1.12
high_SL,"('very good_LE', 'N_L', 'N_P')",0.27,1.0,2.06
N_L,"('very good_LE', 'high_SL')",0.28,0.85,1.12
high_SL,"('very good_LE', 'N_L')",0.28,1.0,2.06
N_P,"('very good_LE', 'high_SL', 'N_WA')",0.27,0.98,1.0
high_SL,"('very good_LE', 'N_WA', 'N_P')",0.27,1.0,2.06
high_SL,"('very good_LE', 'N_WA')",0.28,1.0,2.06
N_P,"('very good_LE', 'high_SL')",0.32,0.98,1.0
high_SL,"('very good_LE', 'N_P')",0.32,1.0,2.06
high_SL,"('very good_LE',)",0.33,1.0,2.06
N_P,"('very good_LE', 'N_L', 'N_WA')",0.23,0.97,0.99
N_P,"('very good_LE', 'N_L')",0.27,0.97,0.99
N_L,"('very good_LE', 'N_P')",0.27,0.85,1.12
N_L,"('very good_LE',)",0.28,0.85,1.12
N_P,"('very good_LE', 'N_WA')",0.27,0.98,1.0
N_P,"('very good_LE',)",0.32,0.98,1.0
N_P,"('medium_SL', '3_T')",0.22,0.99,1.01
N_P,"('medium_SL', 'standard_H', 'N_WA')",0.22,0.98,1.0
N_WA,"('medium_SL', 'standard_H', 'N_P')",0.22,0.88,1.03
N_WA,"('medium_SL', 'standard_H')",0.22,0.88,1.03
N_P,"('medium_SL', 'standard_H')",0.25,0.98,1.0
N_P,"('medium_SL', 'N_L', 'N_WA')",0.22,0.98,1.0
N_P,"('medium_SL', 'N_L')",0.26,0.97,0.99
N_P,"('medium_SL', 'N_WA')",0.32,0.98,1.0
N_WA,"('medium_SL', 'N_P')",0.32,0.87,1.01
