Consequent,Antecedent,Supp,Conf,Lift
N_P,"('low_SL', 'insufficient_LE', 'N_WA')",0.119,0.988,1.01
N_WA,"('low_SL', 'insufficient_LE', 'N_P')",0.119,0.88,1.028
insufficient_LE,"('low_SL', 'N_WA', 'N_P')",0.119,1.0,3.861
N_WA,"('low_SL', 'insufficient_LE')",0.12,0.879,1.028
insufficient_LE,"('low_SL', 'N_WA')",0.12,1.0,3.861
N_P,"('low_SL', 'insufficient_LE')",0.135,0.988,1.009
insufficient_LE,"('low_SL', 'N_P')",0.135,1.0,3.861
insufficient_LE,"('low_SL',)",0.137,1.0,3.861
N_P,"('low_SL', 'N_WA')",0.119,0.988,1.01
N_WA,"('low_SL', 'N_P')",0.119,0.88,1.028
N_WA,"('low_SL',)",0.12,0.879,1.028
N_P,"('low_SL',)",0.135,0.988,1.009
N_P,"('Y_WA', 'N_L')",0.129,0.964,0.985
N_L,"('Y_WA', 'N_P')",0.129,0.921,1.209
N_L,"('Y_WA',)",0.133,0.922,1.21
N_P,"('Y_WA',)",0.14,0.965,0.986
N_P,"('2_D', 'N_L')",0.11,0.99,1.011
N_P,"('2_D', 'N_WA')",0.125,0.992,1.013
N_WA,"('2_D', 'N_P')",0.125,0.846,0.989
N_WA,"('2_D',)",0.126,0.845,0.988
N_P,"('2_D',)",0.147,0.991,1.013
N_P,"('sufficient_LE', 'medium_SL', 'N_L', 'N_WA')",0.106,0.972,0.993
N_WA,"('sufficient_LE', 'medium_SL', 'N_L', 'N_P')",0.106,0.834,0.975
N_L,"('sufficient_LE', 'medium_SL', 'N_WA', 'N_P')",0.106,0.858,1.126
medium_SL,"('sufficient_LE', 'N_L', 'N_WA', 'N_P')",0.106,1.0,2.645
N_WA,"('sufficient_LE', 'medium_SL', 'N_L')",0.109,0.83,0.971
N_L,"('sufficient_LE', 'medium_SL', 'N_WA')",0.109,0.861,1.13
medium_SL,"('sufficient_LE', 'N_L', 'N_WA')",0.109,1.0,2.645
N_P,"('sufficient_LE', 'medium_SL', 'N_L')",0.127,0.968,0.989
N_L,"('sufficient_LE', 'medium_SL', 'N_P')",0.127,0.874,1.147
medium_SL,"('sufficient_LE', 'N_L', 'N_P')",0.127,1.0,2.645
N_L,"('sufficient_LE', 'medium_SL')",0.131,0.876,1.149
medium_SL,"('sufficient_LE', 'N_L')",0.131,1.0,2.645
N_P,"('sufficient_LE', 'medium_SL', 'N_WA')",0.124,0.975,0.996
N_WA,"('sufficient_LE', 'medium_SL', 'N_P')",0.124,0.85,0.993
medium_SL,"('sufficient_LE', 'N_WA', 'N_P')",0.124,1.0,2.645
N_WA,"('sufficient_LE', 'medium_SL')",0.127,0.845,0.988
medium_SL,"('sufficient_LE', 'N_WA')",0.127,1.0,2.645
N_P,"('sufficient_LE', 'medium_SL')",0.145,0.969,0.99
medium_SL,"('sufficient_LE', 'N_P')",0.145,1.0,2.645
medium_SL,"('sufficient_LE',)",0.15,1.0,2.645
N_P,"('sufficient_LE', 'N_L', 'N_WA')",0.106,0.972,0.993
N_WA,"('sufficient_LE', 'N_L', 'N_P')",0.106,0.834,0.975
N_L,"('sufficient_LE', 'N_WA', 'N_P')",0.106,0.858,1.126
N_WA,"('sufficient_LE', 'N_L')",0.109,0.83,0.971
N_L,"('sufficient_LE', 'N_WA')",0.109,0.861,1.13
N_P,"('sufficient_LE', 'N_L')",0.127,0.968,0.989
N_L,"('sufficient_LE', 'N_P')",0.127,0.874,1.147
N_L,"('sufficient_LE',)",0.131,0.876,1.149
N_P,"('sufficient_LE', 'N_WA')",0.124,0.975,0.996
N_WA,"('sufficient_LE', 'N_P')",0.124,0.85,0.993
N_WA,"('sufficient_LE',)",0.127,0.845,0.988
N_P,"('sufficient_LE',)",0.145,0.969,0.99
N_P,"('2_NP', 'Y_L', 'medium_SL', '3_T', 'standard_H')",0.1,0.992,1.014
standard_H,"('2_NP', 'Y_L', 'medium_SL', '3_T', 'N_P')",0.1,0.998,2.005
3_T,"('2_NP', 'Y_L', 'medium_SL', 'standard_H', 'N_P')",0.1,0.991,2.306
medium_SL,"('2_NP', 'Y_L', '3_T', 'standard_H', 'N_P')",0.1,0.999,2.644
Y_L,"('2_NP', 'medium_SL', '3_T', 'standard_H', 'N_P')",0.1,0.925,3.884
2_NP,"('Y_L', 'medium_SL', '3_T', 'standard_H', 'N_P')",0.1,0.996,6.256
standard_H,"('2_NP', 'Y_L', 'medium_SL', '3_T')",0.101,0.998,2.005
3_T,"('2_NP', 'Y_L', 'medium_SL', 'standard_H')",0.101,0.991,2.307
medium_SL,"('2_NP', 'Y_L', '3_T', 'standard_H')",0.101,0.999,2.644
Y_L,"('2_NP', 'medium_SL', '3_T', 'standard_H')",0.101,0.924,3.882
2_NP,"('Y_L', 'medium_SL', '3_T', 'standard_H')",0.101,0.996,6.256
N_P,"('2_NP', 'Y_L', 'medium_SL', '3_T')",0.1,0.992,1.014
3_T,"('2_NP', 'Y_L', 'medium_SL', 'N_P')",0.1,0.985,2.293
medium_SL,"('2_NP', 'Y_L', '3_T', 'N_P')",0.1,0.992,2.624
Y_L,"('2_NP', 'medium_SL', '3_T', 'N_P')",0.1,0.9,3.778
2_NP,"('Y_L', 'medium_SL', '3_T', 'N_P')",0.1,0.986,6.19
3_T,"('2_NP', 'Y_L', 'medium_SL')",0.101,0.985,2.293
medium_SL,"('2_NP', 'Y_L', '3_T')",0.101,0.992,2.625
Y_L,"('2_NP', 'medium_SL', '3_T')",0.101,0.899,3.777
