,Consequent,Antecedent,Supp,Conf,Lift
1698,2_NP,"('insufficient_LE', '3_T', '0_S', 'standard_H')",0.06,0.9,5.62
1724,2_NP,"('insufficient_LE', '3_T', 'standard_H', 'N_WA', 'N_P')",0.09,0.89,5.6
1729,2_NP,"('insufficient_LE', '3_T', 'standard_H', 'N_WA')",0.09,0.89,5.57
1734,2_NP,"('insufficient_LE', '3_T', 'standard_H', 'N_P')",0.09,0.87,5.48
1738,2_NP,"('insufficient_LE', '3_T', 'standard_H')",0.09,0.87,5.46
1620,2_NP,"('insufficient_LE', 'medium_SL', '0_S', 'standard_H')",0.06,0.87,5.45
1616,2_NP,"('insufficient_LE', 'medium_SL', '0_S', 'standard_H', 'N_P')",0.06,0.87,5.44
1644,2_NP,"('insufficient_LE', 'medium_SL', 'standard_H', 'N_WA', 'N_P')",0.09,0.85,5.34
1649,2_NP,"('insufficient_LE', 'medium_SL', 'standard_H', 'N_WA')",0.09,0.85,5.32
1714,2_NP,"('insufficient_LE', '3_T', '0_S', 'N_P')",0.06,0.84,5.25
1718,2_NP,"('insufficient_LE', '3_T', '0_S')",0.06,0.84,5.25
1654,2_NP,"('insufficient_LE', 'medium_SL', 'standard_H', 'N_P')",0.09,0.83,5.23
1658,2_NP,"('insufficient_LE', 'medium_SL', 'standard_H')",0.09,0.83,5.21
1743,2_NP,"('insufficient_LE', '3_T', 'N_WA', 'N_P')",0.09,0.82,5.18
1747,2_NP,"('insufficient_LE', '3_T', 'N_WA')",0.09,0.82,5.16
1638,2_NP,"('insufficient_LE', 'medium_SL', '0_S')",0.06,0.82,5.16
1635,2_NP,"('insufficient_LE', 'medium_SL', '0_S', 'N_P')",0.06,0.82,5.15
1751,2_NP,"('insufficient_LE', '3_T', 'N_P')",0.09,0.81,5.06
