ITEMSET,SUPPORT
"('13_H', 'N_P')",0.02
"('Y_P', 'N_L')",0.02
"('1_SL', 'N_L')",0.03
"('1_SL', 'N_L', 'N_WA')",0.02
"('1_SL', 'N_L', 'N_WA', 'N_P')",0.02
"('1_SL', 'N_L', 'N_P')",0.03
"('1_SL', 'N_WA')",0.02
"('1_SL', 'N_WA', 'N_P')",0.02
"('1_SL', 'N_P')",0.03
"('9_D', 'N_L')",0.04
"('9_D', 'N_L', 'N_WA')",0.03
"('9_D', 'N_L', 'N_WA', 'N_P')",0.03
"('9_D', 'N_L', 'N_P')",0.03
"('9_D', 'N_WA')",0.04
"('9_D', 'N_WA', 'N_P')",0.03
"('9_D', 'N_P')",0.04
"('6_T', 'medium_S')",0.02
"('6_T', 'medium_S', 'N_P')",0.02
"('6_T', 'low_S')",0.02
"('6_T', 'low_S', 'N_P')",0.02
"('6_T', 'N_L')",0.03
"('6_T', 'N_L', 'N_WA')",0.03
"('6_T', 'N_L', 'N_WA', 'N_P')",0.03
"('6_T', 'N_L', 'N_P')",0.03
"('6_T', 'N_WA')",0.04
"('6_T', 'N_WA', 'N_P')",0.04
"('6_T', 'N_P')",0.05
"('8_D', '3_T')",0.02
"('8_D', '3_T', 'N_P')",0.02
"('8_D', 'medium_S')",0.02
"('8_D', 'medium_S', 'N_WA')",0.02
"('8_D', 'medium_S', 'N_WA', 'N_P')",0.02
"('8_D', 'medium_S', 'N_P')",0.02
"('8_D', 'low_S')",0.02
"('8_D', 'low_S', 'N_P')",0.02
"('8_D', 'N_L')",0.03
"('8_D', 'N_L', 'N_WA')",0.03
"('8_D', 'N_L', 'N_WA', 'N_P')",0.03
"('8_D', 'N_L', 'N_P')",0.03
"('8_D', 'N_WA')",0.04
"('8_D', 'N_WA', 'N_P')",0.04
"('8_D', 'N_P')",0.05
"('7_D', '3_T')",0.02
"('7_D', '3_T', 'N_P')",0.02
"('7_D', 'medium_S')",0.02
"('7_D', 'medium_S', 'N_P')",0.02
"('7_D', 'low_S')",0.02
"('7_D', 'low_S', 'N_WA')",0.02
"('7_D', 'low_S', 'N_WA', 'N_P')",0.02
"('7_D', 'low_S', 'N_P')",0.02
"('7_D', 'N_L')",0.04
"('7_D', 'N_L', 'N_WA')",0.03
"('7_D', 'N_L', 'N_WA', 'N_P')",0.03
"('7_D', 'N_L', 'N_P')",0.04
"('7_D', 'N_WA')",0.04
"('7_D', 'N_WA', 'N_P')",0.04
"('7_D', 'N_P')",0.05
"('6_D', '3_T')",0.02
"('6_D', '3_T', 'N_P')",0.02
"('6_D', 'medium_S')",0.02
"('6_D', 'medium_S', 'N_L')",0.02
"('6_D', 'medium_S', 'N_WA')",0.02
"('6_D', 'medium_S', 'N_WA', 'N_P')",0.02
"('6_D', 'medium_S', 'N_P')",0.02
"('6_D', 'low_S')",0.02
"('6_D', 'low_S', 'N_L')",0.02
"('6_D', 'low_S', 'N_L', 'N_P')",0.02
"('6_D', 'low_S', 'N_P')",0.02
"('6_D', 'N_L')",0.04
"('6_D', 'N_L', 'N_WA')",0.04
"('6_D', 'N_L', 'N_WA', 'N_P')",0.03
"('6_D', 'N_L', 'N_P')",0.04
"('6_D', 'N_WA')",0.04
"('6_D', 'N_WA', 'N_P')",0.04
"('6_D', 'N_P')",0.05
"('2_LE', '5_SL')",0.02
"('2_LE', '5_SL', 'N_P')",0.02
"('2_LE', '2_NP')",0.03
"('2_LE', '2_NP', 'Y_L')",0.03
"('2_LE', '2_NP', 'Y_L', '3_T')",0.03
"('2_LE', '2_NP', 'Y_L', '3_T', 'N_WA')",0.03
"('2_LE', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.03
"('2_LE', '2_NP', 'Y_L', '3_T', 'N_P')",0.03
"('2_LE', '2_NP', 'Y_L', 'N_WA')",0.03
"('2_LE', '2_NP', 'Y_L', 'N_WA', 'N_P')",0.03
"('2_LE', '2_NP', 'Y_L', 'N_P')",0.03
"('2_LE', '2_NP', '3_T')",0.03
"('2_LE', '2_NP', '3_T', 'N_WA')",0.03
"('2_LE', '2_NP', '3_T', 'N_WA', 'N_P')",0.03
"('2_LE', '2_NP', '3_T', 'N_P')",0.03
"('2_LE', '2_NP', 'low_S')",0.02
"('2_LE', '2_NP', 'N_WA')",0.03
"('2_LE', '2_NP', 'N_WA', 'N_P')",0.03
"('2_LE', '2_NP', 'N_P')",0.03
"('2_LE', 'Y_L')",0.03
"('2_LE', 'Y_L', '3_T')",0.03
"('2_LE', 'Y_L', '3_T', 'N_WA')",0.03
"('2_LE', 'Y_L', '3_T', 'N_WA', 'N_P')",0.03
"('2_LE', 'Y_L', '3_T', 'N_P')",0.03
"('2_LE', 'Y_L', 'N_WA')",0.03
"('2_LE', 'Y_L', 'N_WA', 'N_P')",0.03
"('2_LE', 'Y_L', 'N_P')",0.03
"('2_LE', '3_T')",0.04
"('2_LE', '3_T', 'low_S')",0.02
"('2_LE', '3_T', 'low_S', 'N_WA')",0.02
"('2_LE', '3_T', 'low_S', 'N_P')",0.02
"('2_LE', '3_T', 'N_WA')",0.03
"('2_LE', '3_T', 'N_WA', 'N_P')",0.03
"('2_LE', '3_T', 'N_P')",0.04
"('2_LE', 'medium_S')",0.02
"('2_LE', 'medium_S', 'N_P')",0.02
"('2_LE', 'low_S')",0.03
"('2_LE', 'low_S', 'N_WA')",0.03
"('2_LE', 'low_S', 'N_WA', 'N_P')",0.02
"('2_LE', 'low_S', 'N_P')",0.03
"('2_LE', 'N_L')",0.02
"('2_LE', 'N_L', 'N_P')",0.02
"('2_LE', 'N_WA')",0.05
"('2_LE', 'N_WA', 'N_P')",0.05
"('2_LE', 'N_P')",0.05
"('4_SL', '2_NP')",0.04
"('4_SL', '2_NP', 'Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('4_SL', '2_NP', 'Y_L', '3_T', 'low_S', 'N_P')",0.02
"('4_SL', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.04
"('4_SL', '2_NP', 'Y_L', '3_T', 'N_P')",0.04
"('4_SL', '2_NP', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.02
"('4_SL', '2_NP', 'Y_L', 'low_S', 'N_P')",0.02
"('4_SL', '2_NP', 'Y_L', 'N_WA', 'N_P')",0.04
"('4_SL', '2_NP', 'Y_L', 'N_P')",0.04
"('4_SL', '2_NP', '3_T')",0.04
"('4_SL', '2_NP', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('4_SL', '2_NP', '3_T', 'low_S', 'N_P')",0.02
"('4_SL', '2_NP', '3_T', 'N_WA')",0.04
"('4_SL', '2_NP', '3_T', 'N_WA', 'N_P')",0.04
"('4_SL', '2_NP', '3_T', 'N_P')",0.04
"('4_SL', '2_NP', 'low_S', 'N_WA', 'N_P')",0.02
"('4_SL', '2_NP', 'low_S', 'N_P')",0.03
"('4_SL', '2_NP', 'N_WA')",0.04
"('4_SL', '2_NP', 'N_WA', 'N_P')",0.04
"('4_SL', '2_NP', 'N_P')",0.04
"('4_SL', 'Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('4_SL', 'Y_L', '3_T', 'low_S', 'N_P')",0.02
"('4_SL', 'Y_L', '3_T', 'N_WA', 'N_P')",0.04
"('4_SL', 'Y_L', '3_T', 'N_P')",0.04
