ITEMSET,SUPPORT
"('8_H', '3_NP', 'N_L', 'N_P')",0.02
"('8_H', '0_D', 'N_L', 'N_P')",0.02
"('8_H', '4_NP', 'N_L', 'N_WA')",0.02
"('8_H', '4_NP', 'N_L', 'N_P')",0.02
"('8_H', '4_NP', 'N_WA', 'N_P')",0.02
"('8_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('8_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('8_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('12_LE', '4_NP', 'N_L', 'N_P')",0.02
"('12_LE', '4_NP', 'N_WA', 'N_P')",0.02
"('12_LE', '3_T', 'N_L', 'N_P')",0.02
"('12_LE', 'medium_S', 'N_L', 'N_P')",0.02
"('12_LE', 'medium_S', 'N_WA', 'N_P')",0.03
"('12_LE', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('7_SL', '2_T', 'N_L', 'N_P')",0.02
"('7_SL', '2_T', 'N_WA')",0.02
"('7_SL', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('7_SL', '0_D')",0.02
"('7_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('7_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('7_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('7_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('2_H', '5_SL', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.02
"('2_H', '2_NP', 'Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('2_H', '0_D', 'N_P')",0.02
"('2_H', '3_T', 'medium_S', 'N_P')",0.02
"('2_H', 'medium_S', 'N_WA', 'N_P')",0.03
"('2_H', 'N_L', 'N_WA', 'N_P')",0.03
"('5_H', '2_T', 'N_L', 'N_P')",0.02
"('5_H', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('5_H', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('5_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('5_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('5_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('9_SL', '2_T', 'N_L', 'N_P')",0.02
"('9_SL', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('9_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('9_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('9_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('9_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('5_SL', '3_LE', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.02
"('5_SL', '3_H', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.02
"('5_SL', '2_NP', 'Y_L', '3_T', 'medium_S', 'N_WA')",0.02
"('5_SL', '2_NP', 'Y_L', '3_T', 'medium_S', 'N_P')",0.02
"('5_SL', '2_NP', 'Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.03
"('5_SL', '2_NP', 'Y_L', 'medium_S', 'N_WA', 'N_P')",0.02
"('5_SL', '2_NP', '3_T', 'medium_S', 'N_WA', 'N_P')",0.02
"('5_SL', 'Y_L', '3_T', 'medium_S', 'N_WA', 'N_P')",0.02
"('5_SL', '0_D', 'N_WA', 'N_P')",0.02
"('6_NP', '0_D', 'N_P')",0.02
"('6_NP', 'medium_S', 'N_WA', 'N_P')",0.03
"('6_NP', 'N_L', 'N_WA', 'N_P')",0.03
"('14_SL', '2_T', 'N_L', 'N_P')",0.02
"('14_SL', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('14_SL', '0_D', 'N_L', 'N_P')",0.02
"('14_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('14_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('14_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('14_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('8_SL', '2_T', 'N_L', 'N_WA', 'N_P')",0.02
"('8_SL', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('8_SL', '0_D', 'N_L')",0.02
"('8_SL', '0_D', 'N_P')",0.02
"('8_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('8_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('8_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('8_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('9_H', '5_NP', 'N_P')",0.02
"('9_H', '3_NP', 'N_L', 'N_P')",0.02
"('9_H', '0_D', 'N_P')",0.02
"('9_H', '4_NP', 'N_L', 'N_P')",0.02
"('9_H', '4_NP', 'N_WA', 'N_P')",0.02
"('9_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('9_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('9_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('3_D', '3_NP', 'N_L', 'N_P')",0.02
"('3_D', '4_NP', 'N_L', 'N_P')",0.02
"('3_D', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('3_D', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('3_D', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('13_SL', '5_NP', 'N_P')",0.02
"('13_SL', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('13_SL', '0_D', 'N_WA')",0.02
"('13_SL', '0_D', 'N_P')",0.02
"('13_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('13_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('13_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('13_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('high_S', '2_T', 'N_L')",0.02
"('high_S', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('high_S', '4_NP', 'N_L', 'N_WA')",0.02
"('high_S', '4_NP', 'N_L', 'N_P')",0.02
"('high_S', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('14_LE', '5_T', 'N_P')",0.02
"('14_LE', '5_NP', 'N_WA', 'N_P')",0.02
"('14_LE', 'Y_L', 'N_WA', 'N_P')",0.03
"('14_LE', '3_NP')",0.02
"('14_LE', '0_D', 'N_WA', 'N_P')",0.02
"('14_LE', '4_NP', 'N_L', 'N_P')",0.02
"('14_LE', '4_NP', 'N_WA', 'N_P')",0.03
"('14_LE', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('14_LE', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('14_LE', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('10_SL', '5_NP', 'N_P')",0.02
"('10_SL', '2_T', 'N_L', 'N_P')",0.02
"('10_SL', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('10_SL', '0_D', 'N_L', 'N_P')",0.02
"('10_SL', '0_D', 'N_WA', 'N_P')",0.02
"('10_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('10_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('10_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('10_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('12_SL', '5_NP', 'N_WA', 'N_P')",0.02
"('12_SL', '2_T', 'N_L', 'N_P')",0.02
"('12_SL', 'Y_L', 'N_P')",0.02
"('12_SL', '3_NP', 'N_L', 'N_WA')",0.02
"('12_SL', '3_NP', 'N_L', 'N_P')",0.02
"('12_SL', '3_NP', 'N_WA', 'N_P')",0.02
"('12_SL', '0_D', 'N_WA')",0.02
"('12_SL', '0_D', 'N_P')",0.02
"('12_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('12_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('12_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('12_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('4_LE', '3_H')",0.02
"('4_LE', '2_NP', 'Y_L', '3_T', 'low_S', 'N_P')",0.02
"('4_LE', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.03
"('4_LE', '2_NP', 'low_S', 'N_WA', 'N_P')",0.02
"('4_LE', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.02
"('4_LE', '3_NP', 'N_L', 'N_P')",0.02
"('4_LE', '0_D', 'N_WA', 'N_P')",0.02
"('4_LE', '4_NP', 'N_P')",0.02
"('4_LE', '3_T', 'medium_S', 'N_P')",0.02
"('4_LE', '3_T', 'low_S', 'N_WA', 'N_P')",0.03
"('4_LE', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('4_LE', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('4_LE', 'low_S', 'N_L', 'N_P')",0.02
"('10_H', '5_NP', 'N_WA', 'N_P')",0.02
"('10_H', 'Y_L', 'N_WA', 'N_P')",0.02
"('10_H', '3_NP', 'N_L', 'N_WA')",0.02
"('10_H', '3_NP', 'N_L', 'N_P')",0.02
"('10_H', '0_D', 'N_WA', 'N_P')",0.02
"('10_H', '4_NP', 'N_L', 'N_P')",0.02
"('10_H', '4_NP', 'N_WA', 'N_P')",0.03
"('10_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('10_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('10_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('11_SL', '5_NP', 'N_WA', 'N_P')",0.02
"('11_SL', '2_T', 'N_L', 'N_P')",0.02
"('11_SL', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('11_SL', '0_D', 'N_L')",0.02
"('11_SL', '0_D', 'N_WA', 'N_P')",0.02
"('11_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('11_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('11_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('11_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('5_T', '5_NP', 'Y_L', 'N_WA', 'N_P')",0.03
"('5_T', '5_NP', 'low_S', 'N_WA', 'N_P')",0.02
"('5_T', 'Y_L', 'medium_S', 'N_WA', 'N_P')",0.02
"('5_T', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.03
"('5_T', '0_D', 'N_WA', 'N_P')",0.02
"('5_T', '4_NP', 'N_WA', 'N_P')",0.03
"('5_T', 'low_S', 'N_L', 'N_P')",0.02
"('5_T', 'N_L', 'N_WA', 'N_P')",0.03
"('11_LE', '4_T', 'N_WA', 'N_P')",0.02
"('11_LE', '5_NP', 'N_WA', 'N_P')",0.02
"('11_LE', 'Y_L', 'low_S', 'N_P')",0.02
"('11_LE', 'Y_L', 'N_WA', 'N_P')",0.03
"('11_LE', '3_NP', 'N_L', 'N_WA')",0.02
"('11_LE', '3_NP', 'N_L', 'N_P')",0.02
"('11_LE', '0_D', 'N_WA', 'N_P')",0.02
"('11_LE', '4_NP', 'N_L', 'N_P')",0.02
"('11_LE', '4_NP', 'N_WA', 'N_P')",0.02
"('11_LE', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('11_LE', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('11_LE', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('4_H', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.02
"('4_H', '2_T', 'N_L', 'N_P')",0.02
"('4_H', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('4_H', '0_D', 'N_L', 'N_P')",0.02
"('4_H', '0_D', 'N_WA', 'N_P')",0.02
"('4_H', '4_NP', 'N_L', 'N_WA')",0.02
"('4_H', '4_NP', 'N_L', 'N_P')",0.02
"('4_H', '4_NP', 'N_WA', 'N_P')",0.02
"('4_H', '3_T', 'medium_S', 'N_WA')",0.02
"('4_H', '3_T', 'medium_S', 'N_P')",0.02
"('4_H', '3_T', 'low_S', 'N_WA', 'N_P')",0.03
"('4_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('4_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('4_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('11_H', '4_T', 'N_P')",0.02
"('11_H', '5_NP', 'N_WA', 'N_P')",0.02
"('11_H', '2_T')",0.02
"('11_H', 'Y_L', 'N_WA', 'N_P')",0.03
"('11_H', '3_NP', 'N_L', 'N_P')",0.02
"('11_H', '0_D', 'N_WA', 'N_P')",0.02
"('11_H', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('11_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('11_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('11_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('3_LE', '3_H', '3_T', 'N_P')",0.02
"('3_LE', '3_H', 'N_WA', 'N_P')",0.02
"('3_LE', '2_NP', 'Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('3_LE', '3_NP', 'N_L', 'N_P')",0.02
"('3_LE', '3_NP', 'N_WA')",0.02
"('3_LE', '0_D', '3_T', 'N_WA', 'N_P')",0.02
"('3_LE', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('3_LE', '3_T', 'medium_S', 'N_WA', 'N_P')",0.03
"('3_LE', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('3_LE', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('3_LE', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('3_H', '2_NP', 'Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('3_H', '1_D', 'N_P')",0.02
"('3_H', '2_T', 'N_L', 'N_P')",0.02
"('3_H', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('3_H', '0_D', '3_T', 'N_P')",0.02
"('3_H', '0_D', 'N_L')",0.02
"('3_H', '0_D', 'N_WA', 'N_P')",0.03
"('3_H', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('3_H', '3_T', 'medium_S', 'N_WA', 'N_P')",0.03
"('3_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('3_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('3_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('Y_WA', '2_D', 'N_L', 'N_P')",0.02
"('Y_WA', '4_T', 'N_P')",0.02
"('Y_WA', '1_D', 'N_L', 'N_P')",0.02
"('Y_WA', '5_NP', 'N_L', 'N_P')",0.03
"('Y_WA', '2_T', 'N_L', 'N_P')",0.04
"('Y_WA', '3_NP', '3_T', 'N_L', 'N_P')",0.02
"('Y_WA', '3_NP', 'medium_S', 'N_L', 'N_P')",0.02
"('Y_WA', '3_NP', 'low_S', 'N_L', 'N_P')",0.02
"('Y_WA', '0_D', 'N_L', 'N_P')",0.03
"('Y_WA', '4_NP', 'low_S', 'N_L', 'N_P')",0.02
"('Y_WA', '3_T', 'medium_S', 'N_L', 'N_P')",0.02
"('Y_WA', '3_T', 'low_S', 'N_L', 'N_P')",0.02
"('2_D', '2_NP', 'N_WA', 'N_P')",0.02
"('2_D', '4_T', 'N_WA', 'N_P')",0.02
"('2_D', '5_NP', 'N_L', 'N_P')",0.02
"('2_D', '5_NP', 'N_WA', 'N_P')",0.02
"('2_D', '2_T', 'N_L', 'N_WA', 'N_P')",0.03
"('2_D', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.02
"('2_D', '3_NP', 'N_L', 'N_WA', 'N_P')",0.03
"('2_D', '4_NP', 'low_S', 'N_P')",0.02
"('2_D', '4_NP', 'N_L', 'N_WA', 'N_P')",0.03
"('2_D', '3_T', 'medium_S', 'N_L', 'N_P')",0.02
"('2_D', '3_T', 'medium_S', 'N_WA', 'N_P')",0.02
"('2_D', '3_T', 'low_S', 'N_L', 'N_P')",0.02
"('2_D', '3_T', 'low_S', 'N_WA', 'N_P')",0.03
"('2_D', '3_T', 'N_L', 'N_WA', 'N_P')",0.04
"('2_D', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.04
"('2_D', 'low_S', 'N_L', 'N_WA', 'N_P')",0.04
"('2_NP', '1_D', '3_T', 'N_P')",0.02
"('2_NP', '1_D', 'N_WA', 'N_P')",0.02
"('2_NP', 'Y_L', '0_D', '3_T', 'low_S', 'N_P')",0.02
"('2_NP', 'Y_L', '0_D', '3_T', 'N_WA', 'N_P')",0.03
"('2_NP', 'Y_L', '0_D', 'low_S', 'N_WA', 'N_P')",0.02
"('2_NP', 'Y_L', '3_T', 'medium_S', 'N_WA', 'N_P')",0.03
"('2_NP', '0_D', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('2_NP', '3_T', 'N_L', 'N_P')",0.02
"('2_NP', 'medium_S', 'N_L', 'N_P')",0.02
"('2_NP', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('4_T', '1_D', 'N_L', 'N_P')",0.02
"('4_T', '1_D', 'N_WA', 'N_P')",0.03
"('4_T', '5_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('4_T', 'Y_L', 'medium_S', 'N_WA', 'N_P')",0.02
"('4_T', '3_NP', 'N_L', 'N_WA', 'N_P')",0.03
"('4_T', '0_D', 'low_S', 'N_WA', 'N_P')",0.02
"('4_T', '0_D', 'N_L', 'N_WA', 'N_P')",0.02
"('4_T', '4_NP', 'N_L', 'N_WA', 'N_P')",0.03
"('4_T', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.04
"('4_T', 'low_S', 'N_L', 'N_WA', 'N_P')",0.04
"('1_D', '5_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('1_D', '2_T', 'low_S', 'N_P')",0.02
"('1_D', '2_T', 'N_L', 'N_WA', 'N_P')",0.03
"('1_D', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.02
"('1_D', '3_NP', '3_T', 'N_L', 'N_P')",0.02
"('1_D', '3_NP', 'medium_S')",0.02
"('1_D', '3_NP', 'low_S', 'N_L', 'N_P')",0.02
"('1_D', '3_NP', 'N_L', 'N_WA', 'N_P')",0.04
"('1_D', '4_NP', '3_T', 'N_L', 'N_P')",0.02
"('1_D', '4_NP', 'medium_S', 'N_P')",0.02
"('1_D', '4_NP', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('1_D', '3_T', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('1_D', '3_T', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('5_NP', '2_T', 'N_L', 'N_WA', 'N_P')",0.03
"('5_NP', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.02
"('5_NP', '0_D', 'medium_S', 'N_P')",0.02
"('5_NP', '0_D', 'low_S', 'N_WA', 'N_P')",0.02
"('5_NP', '0_D', 'N_L', 'N_WA', 'N_P')",0.03
"('5_NP', '3_T', 'medium_S', 'N_L', 'N_WA')",0.02
"('5_NP', '3_T', 'medium_S', 'N_L', 'N_P')",0.02
"('5_NP', '3_T', 'medium_S', 'N_WA', 'N_P')",0.02
"('5_NP', '3_T', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('5_NP', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.05
"('2_T', '3_NP', '0_D', 'N_L', 'N_P')",0.02
"('2_T', '3_NP', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('2_T', '3_NP', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('2_T', '0_D', '4_NP', 'N_L', 'N_P')",0.02
"('2_T', '0_D', 'medium_S', 'N_L', 'N_WA')",0.02
"('2_T', '0_D', 'medium_S', 'N_L', 'N_P')",0.02
"('2_T', '0_D', 'medium_S', 'N_WA', 'N_P')",0.02
"('2_T', '0_D', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('2_T', '4_NP', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('2_T', '4_NP', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('Y_L', '0_D', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('Y_L', '0_D', 'medium_S', 'N_P')",0.02
"('Y_L', '4_NP', 'N_WA', 'N_P')",0.03
