ITEMSET,SUPPORT
"('13_H', 'N_P')",0.02
"('Y_P', 'N_L')",0.02
"('1_SL', 'N_L', 'N_WA', 'N_P')",0.02
"('9_D', 'N_L', 'N_WA', 'N_P')",0.03
"('6_T', 'medium_S', 'N_P')",0.02
"('6_T', 'low_S', 'N_P')",0.02
"('6_T', 'N_L', 'N_WA', 'N_P')",0.03
"('8_D', '3_T', 'N_P')",0.02
"('8_D', 'medium_S', 'N_WA', 'N_P')",0.02
"('8_D', 'low_S', 'N_P')",0.02
"('8_D', 'N_L', 'N_WA', 'N_P')",0.03
"('7_D', '3_T', 'N_P')",0.02
"('7_D', 'medium_S', 'N_P')",0.02
"('7_D', 'low_S', 'N_WA', 'N_P')",0.02
"('7_D', 'N_L', 'N_WA', 'N_P')",0.03
"('6_D', '3_T', 'N_P')",0.02
"('6_D', 'medium_S', 'N_L')",0.02
"('6_D', 'medium_S', 'N_WA', 'N_P')",0.02
"('6_D', 'low_S', 'N_L', 'N_P')",0.02
"('6_D', 'N_L', 'N_WA', 'N_P')",0.03
"('2_LE', '5_SL', 'N_P')",0.02
"('2_LE', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.03
"('2_LE', '2_NP', 'low_S')",0.02
"('2_LE', '3_T', 'low_S', 'N_WA')",0.02
"('2_LE', '3_T', 'low_S', 'N_P')",0.02
"('2_LE', 'medium_S', 'N_P')",0.02
"('2_LE', 'low_S', 'N_WA', 'N_P')",0.02
"('2_LE', 'N_L', 'N_P')",0.02
"('4_SL', '2_NP', 'Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('4_SL', 'medium_S', 'N_P')",0.02
"('5_D', '3_T', 'N_WA', 'N_P')",0.02
"('5_D', 'medium_S', 'N_L')",0.02
"('5_D', 'medium_S', 'N_WA')",0.02
"('5_D', 'medium_S', 'N_P')",0.02
"('5_D', 'low_S', 'N_WA', 'N_P')",0.02
"('5_D', 'N_L', 'N_WA', 'N_P')",0.03
"('8_LE', '3_NP', 'N_L', 'N_P')",0.02
"('8_LE', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('8_LE', 'medium_S', 'N_L', 'N_WA')",0.02
"('8_LE', 'medium_S', 'N_L', 'N_P')",0.02
"('8_LE', 'medium_S', 'N_WA', 'N_P')",0.02
"('8_LE', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('4_D', '3_T', 'N_WA', 'N_P')",0.02
"('4_D', 'medium_S', 'N_WA', 'N_P')",0.02
"('4_D', 'low_S', 'N_L', 'N_P')",0.02
"('4_D', 'low_S', 'N_WA', 'N_P')",0.03
"('4_D', 'N_L', 'N_WA', 'N_P')",0.04
"('6_LE', '3_NP', 'N_L', 'N_P')",0.02
"('6_LE', '4_NP')",0.02
"('6_LE', '3_T', 'N_L', 'N_WA')",0.02
"('6_LE', '3_T', 'N_L', 'N_P')",0.02
"('6_LE', '3_T', 'N_WA', 'N_P')",0.02
"('6_LE', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('6_LE', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('6_SL', '4_NP')",0.02
"('6_SL', '3_T', 'N_L', 'N_P')",0.02
"('6_SL', '3_T', 'N_WA', 'N_P')",0.02
"('6_SL', 'medium_S', 'N_L', 'N_WA')",0.02
"('6_SL', 'medium_S', 'N_L', 'N_P')",0.02
"('6_SL', 'medium_S', 'N_WA', 'N_P')",0.02
"('6_SL', 'low_S', 'N_L', 'N_P')",0.02
"('6_SL', 'low_S', 'N_WA', 'N_P')",0.02
"('6_SL', 'N_L', 'N_WA', 'N_P')",0.04
"('12_H', '0_D')",0.02
"('12_H', 'medium_S', 'N_WA', 'N_P')",0.02
"('12_H', 'low_S', 'N_WA', 'N_P')",0.03
"('12_H', 'N_L', 'N_WA', 'N_P')",0.03
"('9_LE', '3_T', 'N_L', 'N_P')",0.02
"('9_LE', 'medium_S', 'N_L', 'N_WA')",0.02
"('9_LE', 'medium_S', 'N_L', 'N_P')",0.02
"('9_LE', 'medium_S', 'N_WA', 'N_P')",0.02
"('9_LE', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('5_LE', '3_NP', 'N_L', 'N_P')",0.02
"('5_LE', '4_NP', 'N_L', 'N_P')",0.02
"('5_LE', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('5_LE', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('5_LE', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('10_LE', '4_NP', 'N_L', 'N_P')",0.02
"('10_LE', '3_T', 'N_L', 'N_P')",0.02
"('10_LE', 'medium_S', 'N_L', 'N_WA')",0.02
"('10_LE', 'medium_S', 'N_L', 'N_P')",0.02
"('10_LE', 'medium_S', 'N_WA', 'N_P')",0.02
"('10_LE', 'low_S', 'N_L', 'N_P')",0.02
"('10_LE', 'low_S', 'N_WA', 'N_P')",0.03
"('10_LE', 'N_L', 'N_WA', 'N_P')",0.04
"('13_LE', 'Y_L', 'N_WA', 'N_P')",0.02
"('13_LE', '4_NP', 'N_P')",0.02
"('13_LE', '3_T', 'N_L')",0.02
"('13_LE', '3_T', 'N_P')",0.02
"('13_LE', 'medium_S', 'N_L', 'N_P')",0.02
"('13_LE', 'medium_S', 'N_WA', 'N_P')",0.03
"('13_LE', 'low_S', 'N_L', 'N_P')",0.02
"('13_LE', 'low_S', 'N_WA', 'N_P')",0.03
"('13_LE', 'N_L', 'N_WA', 'N_P')",0.04
"('6_H', '2_T', 'N_L', 'N_P')",0.02
"('6_H', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('6_H', '4_NP', 'N_L', 'N_P')",0.02
"('6_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('6_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('6_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('7_LE', '2_T', 'N_L', 'N_P')",0.02
"('7_LE', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('7_LE', '0_D', 'N_L')",0.02
"('7_LE', '0_D', 'N_P')",0.02
"('7_LE', '4_NP', 'N_L', 'N_WA')",0.02
"('7_LE', '4_NP', 'N_L', 'N_P')",0.02
"('7_LE', '4_NP', 'N_WA', 'N_P')",0.02
"('7_LE', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('7_LE', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('7_LE', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('0_SL', '6_NP', '4_T', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.02
"('0_SL', '4_T', 'Y_L', 'medium_S', 'N_P')",0.02
"('0_SL', '4_T', 'medium_S', 'N_WA', 'N_P')",0.02
"('0_SL', 'Y_L', 'medium_S', 'N_WA', 'N_P')",0.02
"('0_SL', '0_D', 'N_P')",0.02
"('7_H', '2_T', 'N_L', 'N_P')",0.02
"('7_H', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('7_H', '0_D')",0.02
"('7_H', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('7_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('7_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('7_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
