,Average_Montly_Hours,Average_Montly_Hours,Average_Montly_Hours,Average_Montly_Hours,Average_Montly_Hours,Average_Montly_Hours,Average_Montly_Hours,Average_Montly_Hours,Last_Evaluation,Last_Evaluation,Last_Evaluation,Last_Evaluation,Last_Evaluation,Last_Evaluation,Last_Evaluation,Last_Evaluation,Left,Left,Left,Left,Left,Left,Left,Left,Number_Project,Number_Project,Number_Project,Number_Project,Number_Project,Number_Project,Number_Project,Number_Project,Satisfaction_Level,Satisfaction_Level,Satisfaction_Level,Satisfaction_Level,Satisfaction_Level,Satisfaction_Level,Satisfaction_Level,Satisfaction_Level,Time_Spend_Company,Time_Spend_Company,Time_Spend_Company,Time_Spend_Company,Time_Spend_Company,Time_Spend_Company,Time_Spend_Company,Time_Spend_Company
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3103.0,0.265733161457,0.131535232644,0.0,0.18,0.24,0.3,0.88,3103.0,0.556422816629,0.117074115714,0.36,0.48,0.53,0.59,1.0,3103.0,0.505639703513,0.500048774278,0.0,0.0,1.0,1.0,1.0,3103.0,0.0869481147277,0.133423646049,0.0,0.0,0.0,0.2,0.8,3103.0,0.42629390912,0.113065799006,0.09,0.37,0.42,0.48,0.96,3103.0,0.16555913632,0.152395660788,0.0,0.13,0.13,0.13,1.0
1,4720.0,0.335330508475,0.11921183242,0.0,0.25,0.34,0.43,0.57,4720.0,0.729402542373,0.154920233335,0.36,0.6,0.73,0.86,1.0,4720.0,0.0139830508475,0.117432733262,0.0,0.0,0.0,0.0,1.0,4720.0,0.37313559322,0.171917863821,0.0,0.2,0.4,0.4,1.0,4720.0,0.753612288136,0.149054454642,0.29,0.64,0.76,0.88,1.0,4720.0,0.135322033898,0.151180780587,0.0,0.0,0.13,0.13,1.0
2,1827.0,0.698637110016,0.218697862075,0.01,0.57,0.75,0.86,1.0,1827.0,0.796316365627,0.147503706565,0.36,0.73,0.83,0.91,1.0,1827.0,0.525998905309,0.499460306758,0.0,0.0,1.0,1.0,1.0,1827.0,0.729720853859,0.185474964781,0.0,0.6,0.8,0.8,1.0,1827.0,0.174362342638,0.103855395217,0.09,0.1,0.13,0.21,0.63,1827.0,0.294384236453,0.145623601942,0.0,0.25,0.25,0.38,1.0
3,5349.0,0.687851934941,0.097878791387,0.32,0.61,0.69,0.77,1.0,5349.0,0.769598055711,0.15999721612,0.36,0.64,0.79,0.91,1.0,5349.0,0.182277061133,0.386108799108,0.0,0.0,0.0,0.0,1.0,5349.0,0.382239670967,0.177972021755,0.0,0.2,0.4,0.6,0.8,5349.0,0.746586277809,0.146305324022,0.25,0.63,0.76,0.86,1.0,5349.0,0.2167190129,0.212272016237,0.0,0.13,0.13,0.38,1.0
