,Average_Montly_Hours,Average_Montly_Hours,Average_Montly_Hours,Average_Montly_Hours,Average_Montly_Hours,Average_Montly_Hours,Average_Montly_Hours,Average_Montly_Hours,Last_Evaluation,Last_Evaluation,Last_Evaluation,Last_Evaluation,Last_Evaluation,Last_Evaluation,Last_Evaluation,Last_Evaluation,Left,Left,Left,Left,Left,Left,Left,Left,Number_Project,Number_Project,Number_Project,Number_Project,Number_Project,Number_Project,Number_Project,Number_Project,Satisfaction_Level,Satisfaction_Level,Satisfaction_Level,Satisfaction_Level,Satisfaction_Level,Satisfaction_Level,Satisfaction_Level,Satisfaction_Level,Time_Spend_Company,Time_Spend_Company,Time_Spend_Company,Time_Spend_Company,Time_Spend_Company,Time_Spend_Company,Time_Spend_Company,Time_Spend_Company
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1534.0,0.303318122555,0.166538001392,0.0,0.19,0.29,0.42,0.88,1534.0,0.597601043025,0.146281974529,0.36,0.49,0.58,0.69,1.0,1534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1534.0,0.169361147327,0.142019664406,0.0,0.0,0.2,0.2,0.8,1534.0,0.446831812256,0.152065154538,0.12,0.34,0.48,0.55,0.96,1534.0,0.198546284224,0.209662012068,0.0,0.0,0.13,0.25,1.0
1,4654.0,0.335758487323,0.119591748179,0.0,0.25,0.34,0.43,0.57,4654.0,0.728573270305,0.15479326737,0.36,0.6,0.73,0.86,1.0,4654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4654.0,0.372539750752,0.170491621821,0.0,0.2,0.4,0.4,0.8,4654.0,0.754389772239,0.149024059862,0.29,0.64,0.76,0.88,1.0,4654.0,0.134144821659,0.151081313789,0.0,0.0,0.13,0.13,1.0
2,866.0,0.561963048499,0.206573652186,0.01,0.41,0.57,0.74,0.89,866.0,0.727009237875,0.16726136111,0.36,0.6,0.74,0.87,1.0,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.0,0.612933025404,0.17368881254,0.0,0.4,0.6,0.8,0.8,866.0,0.238845265589,0.103549967082,0.12,0.16,0.21,0.2775,0.63,866.0,0.330438799076,0.196523052396,0.0,0.25,0.38,0.5,1.0
3,4374.0,0.68340877915,0.0993059324245,0.32,0.6,0.69,0.77,0.89,4374.0,0.740589849108,0.156005240542,0.36,0.61,0.75,0.87,1.0,4374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4374.0,0.356470050297,0.175540651616,0.0,0.2,0.4,0.4,0.8,4374.0,0.735502972108,0.15224761946,0.25,0.61,0.74,0.86,1.0,4374.0,0.179414723365,0.21337685565,0.0,0.0,0.13,0.25,1.0
