RULE,CONFIDENCE,LIFT
"N_WA -> ('2_T', 'N_L', 'N_P')",0.8256295824035703,0.9652079584155223
"N_WA -> ('2_T', 'N_L')",0.8254465684738327,0.9649940047185516
"N_P -> ('2_T', 'N_L')",0.9830774052021309,1.0044399182988257
"N_L -> ('2_T', 'N_P')",0.983385579937304,1.2906720610325186
"N_L -> ('2_T',)",0.9836621454993835,1.2910350472825738
"N_WA -> ('2_T', 'N_P')",0.8282131661442006,0.968228314808797
"N_WA -> ('2_T',)",0.8279901356350184,0.9679675794535965
"N_P -> ('2_T',)",0.9833538840937115,1.0047224051445216
"N_P -> ('Y_L', 'N_WA')",0.9955908289241623,1.0172252617870239
"N_WA -> ('Y_L', 'N_P')",0.9535472972972973,1.114751045375071
"N_WA -> ('Y_L',)",0.9526743209185102,1.1137304863177502
"N_P -> ('Y_L',)",0.9946793615233828,1.0162939879761048
"N_P -> ('3_NP', 'N_L', 'N_WA')",0.9773976786805131,0.9986367699270448
"N_WA -> ('3_NP', 'N_L', 'N_P')",0.823045267489712,0.9621867472391418
"N_L -> ('3_NP', 'N_WA', 'N_P')",0.9782940996637114,1.2839896045551284
"N_WA -> ('3_NP', 'N_L')",0.8219934722570926,0.9609571387672745
"N_L -> ('3_NP', 'N_WA')",0.9787742899850523,1.2846198438471998
"N_P -> ('3_NP', 'N_L')",0.9761486316846598,0.9973605808336657
"N_L -> ('3_NP', 'N_P')",0.9818181818181818,1.288614885289719
"N_L -> ('3_NP',)",0.9822441430332922,1.2891739500661838
"N_P -> ('3_NP', 'N_WA')",0.9778774289985053,0.9991269453370968
"N_WA -> ('3_NP', 'N_P')",0.826010101010101,0.9656528063172646
"N_WA -> ('3_NP',)",0.8249075215782984,0.964363828227038
"N_P -> ('3_NP',)",0.9765721331689272,0.9977932851090422
"N_WA -> ('0_D', 'N_L', 'N_P')",0.8298714144411474,0.9701669014187662
"N_WA -> ('0_D', 'N_L')",0.826935380678183,0.9667345108957184
"N_P -> ('0_D', 'N_L')",0.9702495201535508,0.9913332801623371
"N_P -> ('0_D', 'N_WA')",0.9800168871376301,1.0013128944262477
"N_WA -> ('0_D', 'N_P')",0.8618811881188119,1.0075881481367155
"N_WA -> ('0_D',)",0.8582125603864734,1.0032993135804142
"N_P -> ('0_D',)",0.9758454106280193,0.9970507707091051
"N_P -> ('4_NP', 'N_L', 'N_WA')",0.973030303030303,0.994174490132937
"N_WA -> ('4_NP', 'N_L', 'N_P')",0.8355451470205568,0.9767998176275395
"N_L -> ('4_NP', 'N_WA', 'N_P')",0.8944289693593315,1.1739184556720872
"N_WA -> ('4_NP', 'N_L')",0.8341759352881699,0.975199131207113
"N_L -> ('4_NP', 'N_WA')",0.8962520369364476,1.1763111919854548
"N_P -> ('4_NP', 'N_L')",0.9714357937310415,0.9925453317555784
"N_L -> ('4_NP', 'N_P')",0.9046610169491526,1.1873477942964945
"N_L -> ('4_NP',)",0.9063001145475372,1.1894990740373215
"N_P -> ('4_NP', 'N_WA')",0.9750135795763172,0.9962008637646582
"N_WA -> ('4_NP', 'N_P')",0.8451035781544256,0.9879741674776484
"N_WA -> ('4_NP',)",0.8435280641466208,0.9861323019590932
"N_P -> ('4_NP',)",0.9731958762886598,0.9943436613388017
"N_WA -> ('3_T', '0_S', 'N_P')",0.87078474629688,1.0179969142406002
"N_WA -> ('3_T', '0_S')",0.8686427457098284,1.0154927936790115
"N_P -> ('3_T', '0_S')",0.9900156006240249,1.0115288824087023
"N_P -> ('3_T', 'N_L', 'N_WA')",0.9777006937561943,0.9989463695946292
"N_WA -> ('3_T', 'N_L', 'N_P')",0.8328408611228366,0.973638353544928
"N_WA -> ('3_T', 'N_L')",0.8309656166357834,0.9714460860420978
"N_P -> ('3_T', 'N_L')",0.9754992793905704,0.996697117954984
"N_P -> ('3_T', 'N_WA')",0.9816149963950973,1.0029457309897865
"N_WA -> ('3_T', 'N_P')",0.8632112854652084,1.0091431076143929
"N_WA -> ('3_T',)",0.8610895545553313,1.006662683458723
"N_P -> ('3_T',)",0.9792022349837033,1.0004805396812373
"N_P -> ('1_S', 'N_L', 'N_WA')",0.9685888420065635,0.989636515071965
"N_WA -> ('1_S', 'N_L', 'N_P')",0.8342418736119523,0.9752762168593666
"N_WA -> ('1_S', 'N_L')",0.8317410801325794,0.9723526469920935
"N_P -> ('1_S', 'N_L')",0.9656853187755898,0.9866698975691466
"N_P -> ('1_S', 'N_WA')",0.9749500816845162,0.9961359860480967
"N_WA -> ('1_S', 'N_P')",0.8573024740622506,1.002235370885401
"N_WA -> ('1_S',)",0.8546385355259075,0.9991210751639195
"N_P -> ('1_S',)",0.9719205708966802,0.9930406432479091
"N_P -> ('0_S', 'N_L', 'N_WA')",0.9911883781852822,1.0127271447139679
"N_WA -> ('0_S', 'N_L', 'N_P')",0.8173605655930872,0.9555410072744127
"N_WA -> ('0_S', 'N_L')",0.8162908242612753,0.954290418791494
"N_P -> ('0_S', 'N_L')",0.9898911353032659,1.0114017124260004
"N_P -> ('0_S', 'N_WA')",0.9923518164435946,1.0139158647709452
"N_WA -> ('0_S', 'N_P')",0.8590344827586207,1.0042601875991077
"N_WA -> ('0_S',)",0.8578458173865501,1.002870570146599
"N_P -> ('0_S',)",0.990978676872608,1.0125128865403439
"N_P -> ('N_L', 'N_WA')",0.9758167161646161,0.9970214527079752
"N_WA -> ('N_L', 'N_P')",0.8267433501078361,0.9665100162328475
"N_WA -> ('N_L',)",0.8249912495624782,0.9644617110044902
"N_P -> ('N_L',)",0.9737486874343717,0.9949084852062766
"N_P -> ('N_WA',)",0.9810600155884646,1.0023786903141267
"N_WA -> ('N_P',)",0.857425068119891,1.0023786903141267
