Consequent,Antecedent,Supp,Conf,Lift
N_WA,"('11_H', 'N_P')",0.09,0.86,1.0
N_WA,"('11_H',)",0.09,0.85,1.0
N_P,"('11_H',)",0.1,0.97,1.0
N_WA,"('3_LE', 'N_P')",0.1,0.87,1.02
N_WA,"('3_LE',)",0.1,0.87,1.02
N_P,"('3_LE',)",0.11,0.99,1.01
N_P,"('3_H', 'N_WA')",0.1,0.98,1.0
N_WA,"('3_H', 'N_P')",0.1,0.86,1.01
N_WA,"('3_H',)",0.11,0.86,1.01
N_P,"('3_H',)",0.12,0.98,1.0
N_P,"('Y_WA', 'N_L')",0.13,0.96,0.98
N_L,"('Y_WA', 'N_P')",0.13,0.92,1.21
N_L,"('Y_WA',)",0.13,0.92,1.21
N_P,"('Y_WA',)",0.14,0.96,0.99
N_WA,"('2_D', 'N_L', 'N_P')",0.09,0.81,0.95
N_WA,"('2_D', 'N_L')",0.09,0.81,0.95
N_P,"('2_D', 'N_L')",0.11,0.99,1.01
N_P,"('2_D', 'N_WA')",0.12,0.99,1.01
N_WA,"('2_D', 'N_P')",0.12,0.85,0.99
N_WA,"('2_D',)",0.13,0.85,0.99
N_P,"('2_D',)",0.15,0.99,1.01
N_WA,"('2_NP', 'Y_L', '3_T', 'N_P')",0.1,0.95,1.12
Y_L,"('2_NP', '3_T', 'N_WA', 'N_P')",0.1,0.84,3.54
2_NP,"('Y_L', '3_T', 'N_WA', 'N_P')",0.1,0.96,6.05
N_WA,"('2_NP', 'Y_L', '3_T')",0.1,0.95,1.11
Y_L,"('2_NP', '3_T', 'N_WA')",0.1,0.84,3.54
2_NP,"('Y_L', '3_T', 'N_WA')",0.1,0.96,6.04
N_P,"('2_NP', 'Y_L', '3_T')",0.1,0.99,1.01
3_T,"('2_NP', 'Y_L', 'N_P')",0.1,0.97,2.27
Y_L,"('2_NP', '3_T', 'N_P')",0.1,0.82,3.46
2_NP,"('Y_L', '3_T', 'N_P')",0.1,0.96,6.06
3_T,"('2_NP', 'Y_L')",0.1,0.98,2.27
Y_L,"('2_NP', '3_T')",0.1,0.82,3.46
2_NP,"('Y_L', '3_T')",0.1,0.96,6.05
N_WA,"('2_NP', 'Y_L', 'N_P')",0.1,0.95,1.12
N_WA,"('2_NP', 'Y_L')",0.1,0.95,1.11
N_P,"('2_NP', 'Y_L')",0.1,0.99,1.01
N_P,"('2_NP', '3_T', 'N_WA')",0.11,0.99,1.01
N_WA,"('2_NP', '3_T', 'N_P')",0.11,0.93,1.09
N_WA,"('2_NP', '3_T')",0.12,0.93,1.09
N_P,"('2_NP', '3_T')",0.12,0.99,1.01
N_P,"('2_NP', 'N_WA')",0.14,0.99,1.01
N_WA,"('2_NP', 'N_P')",0.14,0.91,1.07
N_WA,"('2_NP',)",0.14,0.91,1.06
N_P,"('2_NP',)",0.16,0.98,1.01
N_WA,"('4_T', 'N_L', 'N_P')",0.09,0.84,0.98
N_WA,"('4_T', 'N_L')",0.09,0.84,0.98
N_P,"('4_T', 'N_L')",0.11,0.98,1.0
N_P,"('4_T', 'N_WA')",0.15,0.99,1.01
N_WA,"('4_T', 'N_P')",0.15,0.88,1.03
N_WA,"('4_T',)",0.15,0.88,1.02
N_P,"('4_T',)",0.17,0.99,1.01
N_P,"('1_D', 'N_L', 'N_WA')",0.11,0.99,1.01
N_WA,"('1_D', 'N_L', 'N_P')",0.11,0.83,0.97
N_WA,"('1_D', 'N_L')",0.11,0.83,0.97
N_P,"('1_D', 'N_L')",0.13,0.99,1.01
N_P,"('1_D', 'N_WA')",0.15,0.99,1.01
N_WA,"('1_D', 'N_P')",0.15,0.86,1.01
N_WA,"('1_D',)",0.16,0.86,1.01
N_P,"('1_D',)",0.18,0.99,1.01
N_P,"('5_NP', 'N_L', 'N_WA')",0.11,0.98,1.0
N_WA,"('5_NP', 'N_L', 'N_P')",0.11,0.82,0.96
N_WA,"('5_NP', 'N_L')",0.12,0.82,0.96
N_P,"('5_NP', 'N_L')",0.14,0.98,1.0
N_P,"('5_NP', 'N_WA')",0.15,0.98,1.0
N_WA,"('5_NP', 'N_P')",0.15,0.85,0.99
N_WA,"('5_NP',)",0.16,0.85,0.99
N_P,"('5_NP',)",0.18,0.98,1.0
N_WA,"('2_T', 'low_S', 'N_L')",0.08,0.81,0.95
N_P,"('2_T', 'low_S', 'N_L')",0.1,0.99,1.02
N_L,"('2_T', 'low_S', 'N_P')",0.1,0.99,1.29
N_L,"('2_T', 'low_S')",0.1,0.99,1.29
N_WA,"('2_T', 'low_S', 'N_P')",0.08,0.81,0.95
N_WA,"('2_T', 'low_S')",0.08,0.81,0.95
N_P,"('2_T', 'low_S')",0.1,0.99,1.02
N_P,"('2_T', 'N_L', 'N_WA')",0.17,0.98,1.0
N_WA,"('2_T', 'N_L', 'N_P')",0.17,0.83,0.97
N_L,"('2_T', 'N_WA', 'N_P')",0.17,0.98,1.29
N_WA,"('2_T', 'N_L')",0.18,0.83,0.96
N_L,"('2_T', 'N_WA')",0.18,0.98,1.29
N_P,"('2_T', 'N_L')",0.21,0.98,1.0
N_L,"('2_T', 'N_P')",0.21,0.98,1.29
N_L,"('2_T',)",0.21,0.98,1.29
N_P,"('2_T', 'N_WA')",0.18,0.98,1.0
N_WA,"('2_T', 'N_P')",0.18,0.83,0.97
N_WA,"('2_T',)",0.18,0.83,0.97
N_P,"('2_T',)",0.21,0.98,1.0
N_P,"('Y_L', '3_T', 'N_WA')",0.1,0.99,1.01
N_WA,"('Y_L', '3_T', 'N_P')",0.1,0.95,1.12
N_WA,"('Y_L', '3_T')",0.1,0.95,1.11
N_P,"('Y_L', '3_T')",0.1,0.99,1.01
N_P,"('Y_L', 'low_S', 'N_WA')",0.14,0.99,1.02
N_WA,"('Y_L', 'low_S', 'N_P')",0.14,0.96,1.12
N_WA,"('Y_L', 'low_S')",0.14,0.96,1.12
N_P,"('Y_L', 'low_S')",0.14,0.99,1.02
N_P,"('Y_L', 'N_WA')",0.23,1.0,1.02
N_WA,"('Y_L', 'N_P')",0.23,0.95,1.11
