Consequent,Antecedent,Supp,Conf,Lift
N_WA,"('7_LE', 'N_L')",0.06,0.85,1.0
N_L,"('7_LE', 'N_WA')",0.06,0.97,1.28
N_P,"('7_LE', 'N_L')",0.07,0.98,1.0
N_L,"('7_LE', 'N_P')",0.07,0.98,1.28
N_L,"('7_LE',)",0.07,0.98,1.28
N_P,"('7_LE', 'N_WA')",0.06,0.98,1.0
N_WA,"('7_LE', 'N_P')",0.06,0.85,1.0
N_WA,"('7_LE',)",0.06,0.86,1.0
N_P,"('7_LE',)",0.07,0.98,1.0
N_P,"('0_SL', '4_T', 'Y_L', 'N_WA')",0.05,1.0,1.02
N_WA,"('0_SL', '4_T', 'Y_L', 'N_P')",0.05,0.95,1.11
Y_L,"('0_SL', '4_T', 'N_WA', 'N_P')",0.05,0.95,4.01
4_T,"('0_SL', 'Y_L', 'N_WA', 'N_P')",0.05,0.88,5.18
0_SL,"('4_T', 'Y_L', 'N_WA', 'N_P')",0.05,0.9,12.06
N_WA,"('0_SL', '4_T', 'Y_L')",0.05,0.95,1.11
Y_L,"('0_SL', '4_T', 'N_WA')",0.05,0.95,4.0
4_T,"('0_SL', 'Y_L', 'N_WA')",0.05,0.88,5.18
0_SL,"('4_T', 'Y_L', 'N_WA')",0.05,0.9,12.07
N_P,"('0_SL', '4_T', 'Y_L')",0.05,1.0,1.02
Y_L,"('0_SL', '4_T', 'N_P')",0.05,0.94,3.96
4_T,"('0_SL', 'Y_L', 'N_P')",0.05,0.88,5.17
0_SL,"('4_T', 'Y_L', 'N_P')",0.05,0.9,12.02
Y_L,"('0_SL', '4_T')",0.05,0.94,3.95
4_T,"('0_SL', 'Y_L')",0.05,0.88,5.17
0_SL,"('4_T', 'Y_L')",0.05,0.9,12.03
N_P,"('0_SL', '4_T', 'N_WA')",0.05,0.99,1.02
N_WA,"('0_SL', '4_T', 'N_P')",0.05,0.94,1.1
N_WA,"('0_SL', '4_T')",0.05,0.94,1.1
N_P,"('0_SL', '4_T')",0.06,0.99,1.02
N_P,"('0_SL', 'Y_L', 'N_WA')",0.06,1.0,1.02
N_WA,"('0_SL', 'Y_L', 'N_P')",0.06,0.95,1.11
Y_L,"('0_SL', 'N_WA', 'N_P')",0.06,0.83,3.5
N_WA,"('0_SL', 'Y_L')",0.06,0.95,1.11
Y_L,"('0_SL', 'N_WA')",0.06,0.83,3.49
N_P,"('0_SL', 'Y_L')",0.06,1.0,1.02
Y_L,"('0_SL', 'N_P')",0.06,0.81,3.41
Y_L,"('0_SL',)",0.06,0.81,3.4
N_P,"('0_SL', 'N_WA')",0.07,0.99,1.01
N_WA,"('0_SL', 'N_P')",0.07,0.93,1.08
N_WA,"('0_SL',)",0.07,0.93,1.08
N_P,"('0_SL',)",0.07,0.99,1.02
N_P,"('7_H', 'N_L', 'N_WA')",0.06,0.97,1.0
N_WA,"('7_H', 'N_L', 'N_P')",0.06,0.82,0.95
N_L,"('7_H', 'N_WA', 'N_P')",0.06,0.98,1.29
N_WA,"('7_H', 'N_L')",0.06,0.82,0.96
N_L,"('7_H', 'N_WA')",0.06,0.98,1.29
N_P,"('7_H', 'N_L')",0.07,0.98,1.0
N_L,"('7_H', 'N_P')",0.07,0.98,1.29
N_L,"('7_H',)",0.07,0.98,1.29
N_P,"('7_H', 'N_WA')",0.06,0.97,1.0
N_WA,"('7_H', 'N_P')",0.06,0.82,0.96
N_WA,"('7_H',)",0.06,0.82,0.96
N_P,"('7_H',)",0.07,0.98,1.0
N_P,"('8_H', 'N_L', 'N_WA')",0.05,0.98,1.0
N_WA,"('8_H', 'N_L', 'N_P')",0.05,0.82,0.95
N_L,"('8_H', 'N_WA', 'N_P')",0.05,0.88,1.15
N_WA,"('8_H', 'N_L')",0.05,0.81,0.95
N_L,"('8_H', 'N_WA')",0.05,0.88,1.15
